"report_time","all_equity","all_A","float_A","restricted_A","change_from","scrapy_time","code"
"2019-09-30","22.19亿","22.19亿","22.19亿","-","三季报","2020-02-26 17:51:51","600869"
"2019-09-30","5.23亿","5.23亿","5.23亿","-","三季报","2020-02-26 17:51:58","600870"
"2019-09-30","189.84亿","135.69亿","120.43亿","15.27亿","三季报","2020-02-26 17:51:57","600871"
"2019-09-30","7.97亿","7.97亿","7.97亿","-","三季报","2020-02-26 17:52:00","600872"
"2019-09-30","31.04亿","31.04亿","30.81亿","2354.33万","三季报","2020-02-26 17:52:06","600873"
"2019-09-30","14.27亿","10.87亿","10.87亿","-","三季报","2020-02-26 17:52:07","600874"
"2019-09-30","30.91亿","27.51亿","19.97亿","7.54亿","三季报","2020-02-26 17:52:12","600875"
"2019-12-11","5.52亿","3.02亿","2.79亿","2335.06万","注销回购股份","2020-02-26 17:52:23","600876"
"2019-09-30","8.22亿","8.22亿","6.87亿","1.35亿","三季报","2020-02-26 17:52:18","600877"
"2019-10-21","27.19亿","27.19亿","24.18亿","3.02亿","配售股份上市","2020-02-26 17:52:28","600879"
"2019-09-30","10.93亿","10.93亿","10.93亿","30.19万","三季报","2020-02-26 17:52:24","600880"
"2019-09-30","32.49亿","32.49亿","32.23亿","2553.19万","三季报","2020-02-26 17:52:33","600881"
"2019-09-30","4.09亿","4.09亿","4.06亿","335.10万","三季报","2020-02-26 17:52:29","600882"
"2019-09-30","2.36亿","2.36亿","2.36亿","-","三季报","2020-02-26 17:52:36","600883"
"2019-09-30","11.23亿","11.23亿","11.23亿","-","三季报","2020-02-26 17:52:37","600884"
"2019-09-30","7.45亿","7.45亿","7.45亿","-","三季报","2020-02-26 17:52:43","600885"
"2019-09-30","67.86亿","67.86亿","67.86亿","-","三季报","2020-02-26 17:52:42","600886"
"2019-09-30","60.97亿","60.97亿","60.59亿","3833.34万","三季报","2020-02-26 17:52:47","600887"
"2019-10-17","10.35亿","10.35亿","8.40亿","1.95亿","注销回购股份","2020-02-26 17:52:51","600888"
"2019-09-30","3.66亿","3.66亿","3.38亿","2830.19万","三季报","2020-02-26 17:52:55","600889"
"2019-09-30","5.79亿","5.79亿","5.79亿","-","三季报","2020-02-26 17:53:07","600890"
"2019-09-30","6.18亿","6.18亿","3.84亿","2.33亿","三季报","2020-02-26 17:53:01","600891"
