"code","first_industry","second_industry","c_industry"
"000651","家用电器","白色家电","家用电器 — 白色家电"
"000652","综合","综合Ⅱ","综合 — 综合Ⅱ"
"000655","采掘","其他采掘Ⅱ","采掘 — 其他采掘Ⅱ"
"000656","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000657","有色金属","稀有金属","有色金属 — 稀有金属"
"000659","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"000661","医药生物","生物制品Ⅱ","医药生物 — 生物制品Ⅱ"
"000662","计算机","计算机应用","计算机 — 计算机应用"
"000663","轻工制造","家用轻工","轻工制造 — 家用轻工"
"000665","传媒","文化传媒","传媒 — 文化传媒"
"000666","非银金融","多元金融","非银金融 — 多元金融"
"000667","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000668","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000669","公用事业","燃气Ⅱ","公用事业 — 燃气Ⅱ"
"000670","电子","半导体","电子 — 半导体"
"000671","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000672","建筑材料","水泥制造","建筑材料 — 水泥制造"
"000673","传媒","文化传媒","传媒 — 文化传媒"
"000676","传媒","互联网传媒","传媒 — 互联网传媒"
"000677","化工","化学纤维","化工 — 化学纤维"
"000678","汽车","汽车零部件","汽车 — 汽车零部件"
"000679","商业贸易","一般零售","商业贸易 — 一般零售"
"000680","机械设备","专用设备","机械设备 — 专用设备"
"000681","传媒","文化传媒","传媒 — 文化传媒"
"000682","电气设备","电气自动化设备","电气设备 — 电气自动化设备"
"000683","化工","化学原料","化工 — 化学原料"
"000685","公用事业","水务Ⅱ","公用事业 — 水务Ⅱ"
"000686","非银金融","证券","非银金融 — 证券"
"000687","国防军工","航空装备","国防军工 — 航空装备"
"000688","有色金属","工业金属","有色金属 — 工业金属"
"000690","公用事业","电力","公用事业 — 电力"
"000691","房地产","房地产开发Ⅱ","房地产 — 房地产开发Ⅱ"
"000692","公用事业","电力","公用事业 — 电力"
"000695","轻工制造","包装印刷Ⅱ","轻工制造 — 包装印刷Ⅱ"
"000697","国防军工","航空装备","国防军工 — 航空装备"
"000698","化工","石油化工","化工 — 石油化工"
