"c_name","c_type"
"物联网传输层","other"
"物联网平台层","other"
"物联网应用层","other"
"物联网感知层","other"
"特斯拉","general"
"特朗普访华","other"
"特种玻璃","other"
"特色小镇","general"
"特钢概念","general"
"特高压","general"
"独角兽概念","general"
"猪肉","general"
"玉米","general"
"玉米种业","other"
"王亚伟持股","other"
"王者荣耀","other"
"环保包装","other"
"环氧丙烷","other"
"环氧树脂","other"
"玻璃","other"
"玻璃纤维","other"
"珠海主题公园","other"
"珠海国资改革","other"
"珠港澳物流合作园","other"
"甘肃国资改革","other"
"生态农业","general"
"生物医药","general"
"生物疫苗","general"
"生物育种","other"
"生物质能","general"
"甲醛","other"
"电力改革","general"
"电力物联网","general"
"电子信息","other"
"电子发票","general"
"电子商务","general"
"电子政务","other"
"电子标签","other"
"电子烟","other"
"电子竞技","general"
"电子车牌","other"
"电机电控","other"
"电梯物联网","other"
"电石","other"
"电解液","other"
"电解锰","other"
"电阻","other"
"疟疾","other"
"登革热","other"
"白卡纸","other"
"白炭黑","other"
"白糖","other"
"白酒","general"
"白酒概念","general"
"白马爆雷","other"
"百度概念","general"
"百草枯","other"
"盐湖提锂","other"
"盐酸","other"
"眼科医疗","general"
"知识产权保护","general"
"石墨烯","general"
"石墨烯手机","other"
"石墨电极","general"
"砷化镓","other"
"硅晶圆","other"
"硝酸","other"
"硝酸钠","other"
"硫酸钾","other"
"硫酸铵","other"
"碳交易","other"
"碳纤维","general"
"碳纳米管","other"
"磁悬浮","other"
"磷化工","general"
"磷酸一铵","other"
"票交所","other"
"福建自贸区","general"
"禽流感","general"
"私人飞机","other"
"科技保险","other"
"租售同权","general"
"秸秆综合利用","other"
"移动pos机","other"
"移动互联网","general"
"移动入口","other"
"移动天线","other"
"移动射频","other"
"移动支付","general"
"移动转售","other"
"移动金融","other"
"稀土整合","other"
"稀土永磁","general"
"稀有金属","other"
"稀缺资源","general"
"空气净化","other"
"空铁WIFI","general"
"粗苯","other"
"粘胶短纤","other"
"粤港澳大湾区","general"
"紫光系","other"
"纤维板","other"
"纳米","other"
"纳米纸","other"
"细胞免疫治疗","general"
"维生素","other"
"维稳","other"
"绿色建筑","other"
"绿色消费","other"
"网易概念","other"
"网约车","general"
"网络切片","general"
"网络媒体","other"
"网络安全","general"
"网络游戏","general"
"网络直播","general"
"网络视频","other"
"美丽中国","general"
"老字号","other"
"老龄化","other"
"职业教育","general"
"联想概念","other"
"联通混改","other"
"聚丙烯","other"
"聚土地概念","other"
"聚氯乙烯","other"
"聚碳酸酯","other"
"股权转让","general"
"胎压监测","general"
"胰岛素","other"
"胶原蛋白","other"
"能源互联网","general"
"能源纸","other"
"脱硫脱硝","other"
"腾讯概念","general"
"膜材料","other"
"自由贸易港","general"
"致密气","other"
"舟山新区","other"
"舟山自贸区","other"
"航天军工","other"
"航天系","other"
"航空发动机","other"
"航空租赁","other"
"航空航天","other"
"航运概念","general"
"航运港口","other"
"节水灌溉","other"
"节能减排","other"
"节能照明","general"
"节能环保","general"
"节能电机","other"
"芬太尼","general"
"芯片制造","other"
"芯片封装测试","other"
"芯片材料","other"
"芯片概念","general"
"芯片设备","other"
"芯片设计","other"
"苹果概念","general"
"草地贪夜蛾防治","general"
"草甘膦","general"
"萤石","other"
"葡萄酒替白酒","other"
"蓝宝石","general"
"藏药","other"
"虚拟机器人","other"
"虚拟现实","general"
"虚拟运营商","other"
"虹膜识别","other"
"蚂蚁金服概念","general"
"融媒体","general"
"融资租赁","other"
"血液制品","other"
"装配式建筑","general"
"裸眼3D","other"
"西安自贸区","other"
"西气东输","other"
"西藏国资改革","other"
"触摸屏","other"
"证金持股","general"
"诚通系","other"
"语音技术","general"
"诺贝尔","other"
"调味品","other"
"象牙加工销售","other"
"负极材料","other"
"贵州国资改革","other"
"赛马概念","general"
"超导","general"
"超材料概念","other"
"超清视频","general"
"超硬材料","other"
"超级品牌","general"
"超级电容","other"
"超级真菌","general"
"超级计算机","other"
"足球概念","general"
"跨境电商","general"
"车联网","general"
"转基因","other"
"边缘计算","general"
"辽宁国资改革","other"
"迪士尼","general"
"送转填权","general"
"透明工厂","general"
"通信基站","other"
"通用航空","general"
"遥感技术","other"
"避孕套","other"
"配电网","other"
"重庆国资改革","other"
"重庆自贸区","other"
"重金属治理","other"
"量子通信","general"
"金属锑","other"
"金属锰","other"
"金属镁","other"
"金控平台","other"
"金改","general"
"金融IC","general"
"钌催化剂","other"
"钒涨价","other"
"钒电池","other"
"钛","other"
"钛白粉","general"
"钠离子电池","other"
"钢结构","other"
"钨","other"
"钴","general"
"钼","other"
"钾离子电池","other"
"铁矿石","other"
"铁路基建","other"
"铁路混改","other"
"铅","other"
"铜","other"
"铜冶炼","other"
"铝电解电容","other"
"铟","other"
"铬铁","other"
"锂电制造","other"
"锂电原料","other"
"锂电池","general"
"锂电设备","other"
"锂电隔膜","other"
"锌","other"
"锌电池","other"
"锗涨价","other"
"锦纶","other"
"镍氢电池","other"
"长三角一体化","general"
