"code","c_actual_controller","c_final_controller","c_chairman","c_chairman_secretary","c_legal_representative","c_general_manager"
"600009","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","贾锐军","黄晔","贾锐军","胡稚鸿"
"600010","内蒙古自治区人民政府","内蒙古自治区人民政府","李德刚","白宝生","李德刚","李晓"
"600011","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","舒印彪","黄朝全","舒印彪","赵克宇"
"600012","安徽省人民政府国有资产监督管理委员会","安徽省人民政府国有资产监督管理委员会","陈大峰","董汇慧","陈大峰","许振"
"600015","-","-","李民吉","宋继清","李民吉","张健华"
"600016","-","-","洪崎","白丹","洪崎","郑万春"
"600017","日照市人民政府","日照市人民政府","王建波","余慧芳","王建波","高健"
"600018","上海市国有资产监督管理委员会","上海市国有资产监督管理委员会","顾金山","丁向明","顾金山","严俊"
"600019","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","邹继新","王娟","邹继新","侯安贵"
"600020","河南省人民政府","河南省人民政府","马沉重","杨亚子","马沉重","王铁军"
"600021","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王运丹","夏梅兴","王运丹","王怀明"
"600022","山东省国有资产监督管理委员会","山东省国有资产监督管理委员会","王向东","金立山","王向东","吕铭"
"600023","浙江省人民政府国有资产监督管理委员会","浙江省人民政府国有资产监督管理委员会","孙玮恒","曹路","孙玮恒","虞国平"
"600025","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","袁湘华","邓炳超","袁湘华","孙卫"
"600026","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","刘汉波","李倬琼","刘汉波","朱迈进"
"600027","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王绪祥","张戈临","王绪祥","田洪宝"
"600028","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","戴厚良","黄文生","戴厚良","马永生"
"600029","国务院国有资产监督管理委员会","国务院国有资产监督管理委员会","王昌顺","谢兵","王昌顺","马须伦"
"600030",,,"张佑君","郑京","张佑君","杨明辉"
"600031","梁稳根","梁稳根","梁稳根","肖友良","梁稳根","向文波"
