股东股票代码2,股票代码,持有数量,持有价值,占流通股比例,日期
002096,603227,2000.00万,7940.00万,3.04%,2019-09-30
601377,603228,245.19万,1.13亿,1.75%,2019-09-30
002500,603238,19.13万,330.91万,0.64%,2019-06-30
002274,603299,1251.00万,9532.62万,2.24%,2019-09-30
600981,603299,1097.82万,8365.37万,1.96%,2019-09-30
601688,603332,9.89万,272.02万,0.33%,2019-09-30
601688,603358,239.79万,3275.53万,1.74%,2019-09-30
601688,603389,32.31万,215.48万,0.43%,2019-09-30
601688,603421,32.40万,583.18万,0.44%,2019-09-30
601377,603505,284.00万,5716.92万,2.53%,2019-09-30
002161,603508,1629.83万,9.70亿,10.34%,2019-09-30
601688,603530,17.58万,377.97万,0.44%,2019-09-30
601881,603533,802.00万,1.15亿,4.92%,2019-09-30
002500,603578,50.01万,940.76万,1.57%,2019-09-30
002500,603580,53.30万,664.70万,1.26%,2019-09-30
000750,603595,96.80万,2546.69万,1.39%,2019-09-30
002475,603595,661.50万,1.74亿,9.49%,2019-09-30
002500,603598,76.08万,585.06万,0.28%,2019-09-30
601881,603606,909.60万,1.06亿,1.42%,2019-09-30
601628,603613,23.39万,1434.51万,0.66%,2019-09-30
000750,603613,75.69万,4642.27万,2.15%,2019-09-30
000776,603613,42.27万,2592.35万,1.20%,2019-09-30
600958,603658,145.37万,1.29亿,0.35%,2019-09-30
601108,603666,38.01万,2433.93万,1.35%,2019-09-30
600282,603667,497.06万,3966.54万,4.38%,2019-09-30
002500,603685,21.19万,257.61万,0.37%,2019-09-30
600350,603686,2065.66万,2.39亿,4.97%,2019-09-30
601918,603689,1411.20万,1.53亿,8.43%,2019-09-30
601881,603707,540.69万,2.01亿,1.46%,2019-09-30
601688,603709,18.66万,507.51万,0.93%,2019-09-30
000100,603712,1.47亿,32.54亿,40.18%,2019-09-30
600352,603713,188.89万,6072.81万,2.78%,2019-09-30
601688,603797,57.50万,700.98万,0.64%,2019-09-30
601688,603817,48.46万,325.18万,0.27%,2019-09-30
002500,603822,40.65万,969.41万,0.55%,2019-09-30
002736,603826,205.99万,2945.61万,1.09%,2019-09-30
600611,603885,2316.02万,3.17亿,1.29%,2019-09-30
600030,603886,98.90万,1851.41万,0.82%,2019-09-30
601801,603888,383.54万,7651.60万,2.17%,2019-09-30
601688,603915,40.96万,723.76万,0.49%,2019-09-30
600837,603929,150.88万,2395.97万,1.56%,2019-09-30
000525,603970,691.20万,8681.47万,7.24%,2019-09-30
600551,603999,314.82万,1778.73万,0.55%,2019-09-30
601211,688003,18.80万,711.58万,0.43%,2019-09-30
002736,688006,40.21万,1861.06万,1.09%,2019-09-30
601688,688009,1290.00万,1.09亿,1.09%,2019-09-30
601211,688009,1677.36万,1.42亿,1.42%,2019-09-30
600999,688009,350.20万,2962.72万,0.30%,2019-09-30
601211,688010,46.94万,2449.49万,1.32%,2019-09-30
601788,688012,100.00万,6885.02万,2.06%,2019-09-30
600030,688016,13.43万,1749.56万,0.96%,2019-09-30
601211,688016,9.29万,1209.81万,0.66%,2019-09-30
600999,688018,41.00万,6170.22万,2.35%,2019-09-30
601211,688019,7.45万,978.33万,0.64%,2019-09-30
601211,688022,17.29万,966.58万,0.71%,2019-09-30
601066,688028,17.63万,1647.13万,0.97%,2019-09-30
600030,688029,61.11万,8137.41万,2.00%,2019-09-30
600030,688036,67.69万,3912.70万,0.95%,2019-09-30
002736,688066,60.83万,2793.26万,1.62%,2019-09-30
601688,688068,10.23万,724.99万,0.72%,2019-09-30
601211,688099,31.33万,2167.84万,0.84%,2019-09-30
601066,688122,18.00万,697.68万,0.45%,2019-09-30
601881,688168,7.05万,884.77万,0.61%,2019-09-30
600837,688168,7.87万,987.99万,0.68%,2019-09-30
