股东股票代码2,股票代码,持有数量,持有价值,占流通股比例,日期
600068,000783,1.36亿,9.51亿,2.46%,2019-09-30
000883,000783,5.07亿,35.48亿,9.17%,2019-09-30
601881,000791,390.00万,1446.90万,0.29%,2019-09-30
000732,000797,2196.58万,7292.64万,1.41%,2019-09-30
601198,000799,250.28万,9898.57万,0.77%,2019-09-30
601881,000813,1020.76万,7951.73万,0.94%,2019-09-30
601066,000839,2006.01万,7241.70万,0.51%,2019-09-30
601628,000858,3293.53万,42.75亿,0.87%,2019-09-30
600369,000875,4295.07万,1.29亿,2.20%,2019-09-30
600900,000883,16.50亿,67.15亿,25.36%,2019-09-30
300251,000892,1354.61万,5757.07万,2.52%,2019-09-30
300315,000892,1391.50万,5913.88万,2.59%,2019-09-30
601628,000895,1194.92万,2.95亿,1.35%,2019-09-30
600886,000899,3.29亿,15.86亿,33.72%,2019-09-30
001965,000900,1.07亿,4.71亿,7.04%,2019-09-30
600999,000910,649.58万,6983.02万,1.20%,2019-09-30
600030,000918,769.95万,4958.49万,0.43%,2019-09-30
600797,000925,5731.71万,3.72亿,12.65%,2019-09-30
600196,000950,887.44万,5537.64万,1.25%,2019-09-30
600332,000950,649.81万,4054.80万,0.91%,2019-09-30
600828,000950,1833.19万,1.14亿,2.58%,2019-09-30
601336,000959,5780.12万,1.93亿,1.95%,2019-09-30
000883,000966,1.20亿,5.48亿,10.80%,2019-09-30
600051,000970,1713.00万,1.62亿,1.61%,2019-09-30
600958,001965,612.65万,4821.52万,1.10%,2019-09-30
601628,001979,3.35亿,63.56亿,4.23%,2019-09-30
000069,001979,6355.93万,12.07亿,0.80%,2019-09-30
601336,002009,277.26万,2162.62万,0.89%,2019-09-30
000581,002009,471.00万,3673.80万,1.51%,2019-09-30
002701,002014,1.13亿,8.05亿,22.61%,2019-09-30
601628,002019,1456.86万,1.95亿,1.80%,2019-09-30
002004,002033,7837.05万,4.51亿,14.26%,2019-09-30
600177,002036,3576.46万,5.08亿,5.03%,2019-09-30
600018,002040,4974.96万,3.53亿,12.48%,2019-09-30
000676,002045,2300.81万,1.58亿,4.93%,2019-09-30
600100,002049,1207.93万,6.17亿,1.99%,2019-09-30
601881,002059,1071.51万,5861.16万,1.47%,2019-09-30
600795,002063,5264.23万,5.17亿,6.91%,2019-09-30
000541,002074,4545.55万,5.69亿,4.49%,2019-09-30
002252,002085,4220.00万,2.98亿,2.00%,2019-09-30
601377,002088,1200.00万,1.38亿,3.83%,2019-09-30
002336,002094,2521.97万,1.25亿,4.02%,2019-09-30
600030,002096,223.45万,1414.45万,0.60%,2019-09-30
601788,002100,970.01万,8652.46万,0.96%,2019-09-30
600152,002101,1234.85万,8372.26万,2.90%,2019-09-30
002783,002109,168.00万,598.08万,0.31%,2019-09-30
601555,002110,1548.50万,1.24亿,0.70%,2019-09-30
600833,002116,2288.99万,1.80亿,5.51%,2019-09-30
000977,002117,1945.83万,2.19亿,3.57%,2019-09-30
601628,002120,1706.34万,5.87亿,2.97%,2019-09-30
601066,002138,796.42万,1.73亿,1.14%,2019-09-30
600884,002142,8344.72万,21.04亿,1.65%,2019-09-30
600177,002142,7.96亿,200.77亿,15.77%,2019-09-30
000524,002187,815.40万,6629.20万,2.38%,2019-09-30
601066,002189,62.90万,1310.84万,0.32%,2019-09-30
002266,002195,8.25亿,27.30亿,14.76%,2019-09-30
002594,002217,3.46亿,20.09亿,12.83%,2019-09-30
601066,002221,2029.61万,1.60亿,1.33%,2019-09-30
601881,002229,290.00万,1780.60万,0.71%,2019-09-30
600362,002237,2.73亿,35.90亿,32.06%,2019-09-30
601788,002239,3994.88万,6751.35万,1.30%,2019-09-30
601336,002240,426.49万,3296.76万,0.87%,2019-09-30
600366,002249,3245.00万,1.28亿,1.98%,2019-09-30
002736,002301,750.46万,8780.36万,1.17%,2019-09-30
601668,002302,1.55亿,17.10亿,12.52%,2019-09-30
000877,002302,1341.95万,1.48亿,1.08%,2019-09-30
601881,002305,3468.00万,7386.84万,2.00%,2019-09-30
600030,002320,160.74万,1284.32万,0.19%,2019-09-30
000088,002320,1.39亿,11.13亿,16.63%,2019-09-30
601881,002321,372.00万,2150.16万,0.70%,2019-09-30
601555,002327,1982.63万,1.30亿,3.78%,2019-09-30
600216,002332,1626.91万,1.23亿,1.80%,2019-09-30
000636,002338,1199.00万,1.64亿,5.00%,2019-09-30
300113,002343,850.28万,6717.19万,2.11%,2019-09-30
002144,002344,3030.00万,1.26亿,2.38%,2019-09-30
300251,002354,3388.45万,9894.29万,4.84%,2019-09-30
601881,002364,1127.12万,1.39亿,2.19%,2019-09-30
000783,002367,343.65万,2625.51万,0.66%,2019-09-30
601628,002384,1422.23万,2.80亿,1.16%,2019-09-30
600030,002415,9690.32万,31.30亿,1.20%,2019-09-30
600533,002431,1.77亿,5.49亿,13.33%,2019-09-30
601628,002449,1277.86万,1.42亿,2.10%,2019-09-30
600030,002451,346.14万,3478.74万,0.83%,2019-09-30
600386,002454,1368.90万,6515.96万,2.19%,2019-09-30
000421,002454,540.30万,2571.81万,0.87%,2019-09-30
601628,002463,1459.42万,3.58亿,0.86%,2019-09-30
601336,002465,7371.33万,7.22亿,3.43%,2019-09-30
600030,002468,658.31万,1.51亿,1.98%,2019-09-30
600894,002480,3226.85万,1.35亿,5.04%,2019-09-30
600958,002505,5101.74万,9030.09万,0.93%,2019-09-30
601068,002523,5386.69万,1.71亿,3.99%,2019-09-30
601727,002564,1.32亿,6.65亿,17.69%,2019-09-30
002500,002566,110.46万,713.58万,0.48%,2019-09-30
600030,002577,43.48万,419.57万,0.15%,2019-09-30
000563,002591,322.88万,2721.84万,1.73%,2019-06-30
601988,002608,1397.60万,1.06亿,1.31%,2019-09-30
601009,002608,9287.43万,7.03亿,8.73%,2019-09-30
600919,002608,2790.00万,2.11亿,2.62%,2019-09-30
000563,002622,3226.32万,1.06亿,3.84%,2019-09-30
600195,002626,1.40亿,22.96亿,23.28%,2019-09-30
601881,002628,450.00万,2083.50万,0.62%,2019-09-30
002500,002633,91.33万,789.06万,0.61%,2019-09-30
600784,002643,7519.77万,9.41亿,8.27%,2019-09-30
600269,002670,9641.18万,10.94亿,5.94%,2019-09-30
600981,002672,5008.77万,4.85亿,7.58%,2019-09-30
600649,002673,5.28亿,47.09亿,15.09%,2019-09-30
601933,002697,2.86亿,21.28亿,26.49%,2019-09-30
002712,002712,3692.63万,2.50亿,9.82%,2019-09-30
000776,002727,399.29万,8948.05万,1.33%,2019-09-30
600266,002736,3.43亿,42.12亿,4.18%,2019-09-30
002318,002756,1036.00万,1.67亿,5.61%,2019-09-30
002500,002782,43.19万,448.69万,0.10%,2019-09-30
601901,002815,254.48万,4685.02万,0.97%,2019-09-30
600958,002842,83.20万,1270.46万,0.72%,2019-09-30
000157,002843,4800.00万,3.91亿,38.10%,2019-09-30
600958,002855,60.00万,718.20万,0.72%,2019-09-30
601688,002855,68.09万,814.99万,0.82%,2019-09-30
000021,002855,1257.38万,1.51亿,15.08%,2019-09-30
601688,002868,14.87万,267.13万,0.39%,2019-09-30
601688,002871,26.03万,564.63万,0.90%,2019-09-30
601688,002881,40.18万,1217.81万,0.89%,2019-09-30
601688,002888,14.93万,270.33万,0.42%,2019-09-30
601881,002895,75.00万,876.75万,0.84%,2019-09-30
600030,002897,60.26万,1481.74万,0.89%,2019-09-30
000783,002897,31.38万,771.75万,0.46%,2019-09-30
601688,002908,53.02万,707.78万,0.45%,2019-09-30
601628,002912,134.15万,1.27亿,2.59%,2019-09-30
300188,002912,221.28万,2.10亿,4.27%,2019-09-30
601066,002918,220.54万,3080.89万,1.63%,2019-09-30
600525,002927,1902.75万,3.62亿,26.45%,2019-09-30
601688,002947,46.00万,2523.94万,1.51%,2019-09-30
000783,002955,20.31万,1217.98万,0.59%,2019-09-30
601688,002957,12.35万,467.20万,0.30%,2019-09-30
601336,300003,1011.32万,2.53亿,0.67%,2019-09-30
000565,300016,4046.45万,3.57亿,10.13%,2019-09-30
600655,300027,6172.80万,2.92亿,2.79%,2019-09-30
300073,300035,1575.90万,8446.83万,3.87%,2019-09-30
601628,300073,487.97万,1.22亿,1.13%,2019-09-30
002054,300082,3269.59万,1.89亿,4.83%,2019-09-30
002385,300087,6096.46万,4.83亿,17.48%,2019-09-30
601933,300094,9364.65万,3.80亿,12.50%,2019-09-30
600320,300095,2225.78万,1.28亿,8.08%,2019-09-30
601881,300100,930.00万,5561.40万,2.40%,2019-09-30
601628,300115,860.49万,1.22亿,0.95%,2019-09-30
601099,300120,297.13万,1788.73万,1.27%,2019-09-30
300147,300147,513.96万,3135.18万,0.78%,2019-09-30
601628,300168,1.08亿,14.74亿,9.91%,2019-09-30
002736,300178,288.46万,1566.34万,0.49%,2019-09-30
601336,300190,508.17万,3638.47万,0.70%,2019-09-30
601066,300197,2767.19万,8744.32万,1.66%,2019-09-30
600999,300197,3225.48万,1.02亿,1.94%,2019-09-30
601066,300210,484.00万,1810.16万,1.21%,2019-09-30
600958,300214,380.00万,3180.58万,1.12%,2019-09-30
000100,300241,440.86万,2614.32万,1.06%,2019-09-30
601336,300241,1299.99万,7708.94万,3.11%,2019-09-30
601881,300250,540.00万,7036.20万,3.57%,2019-09-30
002736,300255,440.00万,2459.60万,0.74%,2019-09-30
601688,300265,52.08万,406.22万,0.15%,2019-09-30
600998,300289,450.00万,2443.50万,1.08%,2019-09-30
600030,300327,383.80万,1.03亿,1.52%,2019-09-30
601688,300330,91.66万,939.51万,0.55%,2019-09-30
002315,300339,798.93万,1.20亿,1.08%,2019-09-30
601688,300354,35.30万,463.14万,0.46%,2019-09-30
601162,300362,1108.82万,3392.98万,3.52%,2019-09-30
600030,300397,427.01万,8659.72万,2.77%,2019-06-30
300306,300411,674.59万,4958.24万,4.56%,2019-09-30
601881,300412,519.00万,3440.97万,2.34%,2019-09-30
601336,300429,525.51万,6647.76万,1.75%,2019-09-30
600177,300451,2884.75万,5.03亿,5.29%,2019-09-30
600999,300457,614.71万,1.51亿,2.44%,2019-09-30
300340,300477,881.82万,6208.03万,1.84%,2019-09-30
601688,300483,43.32万,1676.05万,0.86%,2019-09-30
002326,300497,1829.44万,3.08亿,9.55%,2019-09-30
002123,300499,389.45万,5090.11万,3.12%,2019-09-30
