股票代码,pid,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000096,59699,1941.58万,3.68%,-,流通A股,2,2019-09-30
000096,59700,978.62万,1.85%,-,流通A股,5,2019-09-30
000096,59701,730.56万,1.38%,-,流通A股,8,2019-09-30
000096,59702,726.68万,1.38%,-,流通A股,9,2019-09-30
000099,59703,208.82万,0.34%,-,流通A股,10,2019-09-30
000099,59704,1226.00万,2.02%,-,流通A股,3,2019-09-30
000099,59705,985.17万,1.63%,-,流通A股,4,2019-09-30
000099,59706,369.56万,0.61%,-,流通A股,7,2019-09-30
000099,59707,289.50万,0.48%,-,流通A股,9,2019-09-30
000150,59708,9156.59万,10.43%,99.86%,流通A股,2,2019-11-22
000151,59709,73.46万,0.25%,-,流通A股,10,2019-09-30
000151,59710,282.68万,0.96%,-,流通A股,2,2019-09-30
000151,59711,119.26万,0.40%,-,流通A股,6,2019-09-30
000151,59712,93.50万,0.32%,-,流通A股,7,2019-09-30
000151,59713,84.63万,0.29%,-,流通A股,8,2019-09-30
000151,59714,74.71万,0.25%,-,流通A股,9,2019-09-30
000153,59715,165.82万,0.53%,-,流通A股,10,2019-09-30
000153,59716,330.00万,1.06%,-,流通A股,7,2019-09-30
000153,59717,276.70万,0.89%,-,流通A股,8,2019-09-30
000153,59718,249.67万,0.80%,-,流通A股,9,2019-09-30
000155,59719,1245.00万,0.98%,无质押,流通A股,8,2019-09-30
000156,59720,1099.17万,0.77%,无质押,流通A股,7,2019-10-18
000301,59721,378.00万,0.09%,-,流通A股,10,2019-09-30
000301,59722,707.17万,0.18%,-,流通A股,8,2019-09-30
000301,59723,468.01万,0.12%,-,流通A股,9,2019-09-30
000333,59724,5018.98万,0.72%,29.19%,流通A股,10,2019-09-30
000333,16734,1.37亿,1.97%,无质押,"受限流通股,流通A股",4,2019-09-30
000333,59725,8803.22万,1.26%,无质押,流通A股,7,2019-09-30
000333,59726,5179.19万,0.74%,无质押,流通A股,9,2019-09-30
000338,59727,5026.42万,0.63%,-,流通A股,10,2019-09-30
000338,1052,5884.26万,0.74%,-,"受限流通股,流通A股",9,2019-09-30
000401,59728,1620.00万,1.20%,无质押,流通A股,5,2019-09-30
000402,59729,1106.59万,0.37%,-,流通A股,10,2019-09-30
000402,59730,1207.19万,0.40%,-,流通A股,9,2019-09-30
000403,59731,253.36万,0.93%,无质押,流通A股,10,2019-09-30
000403,59732,350.01万,1.28%,无质押,流通A股,7,2019-09-30
000403,59733,338.42万,1.24%,无质押,流通A股,8,2019-09-30
000403,59734,313.85万,1.15%,无质押,流通A股,9,2019-09-30
000404,59735,388.88万,0.56%,-,流通A股,10,2019-09-30
000404,59736,1552.61万,2.23%,-,流通A股,3,2019-09-30
000404,59737,694.00万,1.00%,-,流通A股,5,2019-09-30
000404,59738,517.82万,0.74%,-,流通A股,7,2019-09-30
000404,59739,509.71万,0.73%,-,流通A股,8,2019-09-30
000404,59740,400.80万,0.58%,-,流通A股,9,2019-09-30
000407,59741,510.07万,0.58%,无质押,流通A股,10,2019-09-30
000407,59742,3210.11万,3.65%,99.64%,流通A股,4,2019-09-30
000407,59743,1051.90万,1.20%,无质押,流通A股,6,2019-09-30
000408,59744,2.17亿,10.87%,100.00%,受限流通股,3,2019-09-30
000408,59745,3399.68万,1.71%,100.00%,流通A股,6,2019-09-30
000408,59746,1784.83万,0.90%,100.00%,流通A股,7,2019-09-30
000409,59747,449.95万,0.88%,-,流通A股,10,2019-09-30
000409,59748,728.00万,1.42%,-,流通A股,8,2019-09-30
000409,59749,600.00万,1.17%,-,受限流通股,9,2019-09-30
000410,59750,134.56万,0.18%,无质押,流通A股,10,2019-09-30
000410,59751,318.63万,0.42%,无质押,流通A股,3,2019-09-30
000410,59752,250.00万,0.33%,无质押,流通A股,4,2019-09-30
000410,59753,247.00万,0.32%,无质押,流通A股,5,2019-09-30
000410,59754,230.00万,0.30%,无质押,流通A股,6,2019-09-30
000410,59755,188.63万,0.25%,无质押,流通A股,8,2019-09-30
000410,59756,140.00万,0.18%,无质押,流通A股,9,2019-09-30
000411,59757,244.86万,0.98%,-,流通A股,6,2019-09-30
000416,59758,193.25万,0.36%,无质押,流通A股,10,2019-09-30
000416,59759,492.99万,0.93%,无质押,流通A股,2,2019-09-30
000416,59760,485.00万,0.91%,无质押,流通A股,3,2019-09-30
000416,59761,260.00万,0.49%,无质押,流通A股,4,2019-09-30
000416,59762,212.38万,0.40%,无质押,流通A股,5,2019-09-30
000416,59763,211.31万,0.40%,无质押,流通A股,6,2019-09-30
000416,59764,209.18万,0.39%,无质押,流通A股,7,2019-09-30
000416,59765,193.56万,0.36%,无质押,流通A股,9,2019-09-30
000417,59766,300.00万,0.38%,-,流通A股,10,2019-09-30
000417,59767,1049.00万,1.35%,-,流通A股,7,2019-09-30
000417,59768,385.25万,0.49%,-,流通A股,8,2019-09-30
000419,59769,649.36万,1.19%,无质押,流通A股,3,2019-09-30
000419,59770,567.55万,1.04%,无质押,流通A股,5,2019-09-30
000419,59771,565.24万,1.04%,无质押,流通A股,6,2019-09-30
000419,59772,478.57万,0.88%,无质押,流通A股,7,2019-09-30
000419,59773,400.00万,0.74%,无质押,流通A股,8,2019-09-30
000419,59774,383.25万,0.71%,无质押,流通A股,9,2019-09-30
000420,59775,1700.01万,0.86%,无质押,流通A股,10,2019-09-30
000420,59776,6511.44万,3.30%,无质押,流通A股,5,2019-09-30
000420,59777,1970.00万,1.00%,无质押,流通A股,8,2019-09-30
000420,59778,1734.06万,0.88%,无质押,流通A股,9,2019-09-30
000421,59779,178.78万,0.31%,-,流通A股,10,2019-09-30
000421,59780,400.00万,0.70%,-,流通A股,6,2019-09-30
000421,59781,307.96万,0.54%,-,流通A股,7,2019-09-30
000421,59782,187.72万,0.33%,-,流通A股,8,2019-09-30
000421,59783,186.50万,0.33%,-,流通A股,9,2019-09-30
000422,59784,272.82万,0.30%,无质押,流通A股,10,2019-09-30
000422,59785,4485.00万,5.00%,无质押,流通A股,3,2019-09-30
000422,59786,895.18万,1.00%,无质押,流通A股,5,2019-09-30
000422,59787,666.00万,0.74%,无质押,流通A股,6,2019-09-30
000422,59788,383.91万,0.43%,无质押,流通A股,8,2019-09-30
000422,59789,343.00万,0.38%,无质押,流通A股,9,2019-09-30
000426,59790,2593.93万,1.41%,99.96%,受限流通股,10,2019-09-30
000426,59791,1.10亿,6.00%,100.00%,受限流通股,4,2019-09-30
000426,10795,6662.30万,3.63%,99.40%,"受限流通股,流通A股",5,2019-09-30
000426,59792,6622.30万,3.60%,100.00%,受限流通股,6,2019-09-30
000426,59793,2979.86万,1.62%,100.00%,受限流通股,8,2019-09-30
000426,59794,2595.22万,1.41%,99.91%,"受限流通股,流通A股",9,2019-09-30
000428,59795,493.09万,0.48%,无质押,流通A股,10,2019-09-30
000428,59796,1400.00万,1.37%,无质押,流通A股,3,2019-09-30
000428,59797,1000.00万,0.98%,无质押,流通A股,5,2019-09-30
000428,59798,734.78万,0.72%,无质押,流通A股,6,2019-09-30
000428,59799,573.25万,0.56%,无质押,流通A股,8,2019-09-30
000428,59800,547.15万,0.54%,无质押,流通A股,9,2019-09-30
000429,59801,1966.48万,0.94%,-,"流通A股,流通B股",10,2019-09-30
000430,59802,400.22万,0.99%,无质押,流通A股,9,2019-09-30
000488,59803,991.70万,0.34%,无质押,流通B股,10,2019-09-30
000488,3732,1108.00万,0.38%,无质押,"受限流通股,流通A股",8,2019-09-30
000488,59804,1101.02万,0.38%,无质押,流通A股,9,2019-09-30
000498,59805,167.88万,0.15%,-,流通A股,10,2019-12-09
000498,59806,249.99万,0.22%,-,流通A股,5,2019-12-09
000498,59807,227.07万,0.20%,-,流通A股,6,2019-12-09
000501,59808,1335.74万,1.74%,-,流通A股,7,2019-09-30
000502,59809,136.16万,0.74%,-,流通A股,10,2019-09-30
000502,59810,862.78万,4.67%,-,流通A股,4,2019-09-30
000502,59811,275.05万,1.49%,-,流通A股,5,2019-09-30
000502,59812,220.32万,1.19%,-,流通A股,6,2019-09-30
000502,59813,181.63万,0.98%,-,流通A股,7,2019-09-30
000502,59814,138.00万,0.75%,-,流通A股,9,2019-09-30
000503,59815,289.00万,0.32%,无质押,流通A股,10,2019-09-30
000503,59816,442.25万,0.49%,无质押,流通A股,5,2019-09-30
000503,59817,357.58万,0.40%,无质押,流通A股,6,2019-09-30
000503,59818,334.13万,0.37%,无质押,流通A股,7,2019-09-30
000503,59819,327.69万,0.36%,无质押,流通A股,8,2019-09-30
000503,59820,327.54万,0.36%,无质押,流通A股,9,2019-09-30
000505,59821,166.96万,0.24%,-,流通A股,10,2019-09-30
000505,59822,260.42万,0.38%,-,流通A股,6,2019-09-30
000505,59823,235.61万,0.34%,-,流通A股,7,2019-09-30
000505,59824,194.93万,0.28%,-,流通B股,8,2019-09-30
000505,59825,174.27万,0.25%,-,流通A股,9,2019-09-30
000506,59826,248.21万,0.27%,无质押,流通A股,10,2019-09-30
000506,59827,2846.34万,3.06%,无质押,流通A股,4,2019-09-30
000506,59828,563.73万,0.61%,无质押,流通A股,6,2019-09-30
000506,59829,257.95万,0.28%,无质押,流通A股,9,2019-09-30
000507,59830,1529.92万,1.64%,-,流通A股,4,2019-09-30
000507,59831,720.00万,0.77%,-,流通A股,6,2019-09-30
000507,59832,465.82万,0.50%,-,流通A股,7,2019-09-30
000507,59833,373.02万,0.40%,-,流通A股,8,2019-09-30
000509,59834,280.84万,0.34%,无质押,流通A股,10,2019-09-30
000509,59835,558.44万,0.68%,无质押,流通A股,4,2019-09-30
000509,59836,542.00万,0.66%,无质押,流通A股,5,2019-09-30
000509,59837,450.34万,0.55%,无质押,流通A股,6,2019-09-30
000509,59838,416.70万,0.50%,无质押,流通A股,7,2019-09-30
000509,59839,316.97万,0.38%,无质押,流通A股,9,2019-09-30
000510,18407,7952.84万,13.05%,99.99%,"受限流通股,流通A股",1,2019-09-30
000510,59840,275.00万,0.45%,无质押,流通A股,10,2019-09-30
000510,59841,444.13万,0.73%,无质押,流通A股,7,2019-09-30
000510,59842,420.01万,0.69%,无质押,流通A股,8,2019-09-30
000510,59843,294.90万,0.48%,无质押,流通A股,9,2019-09-30
000514,59844,106.77万,0.13%,无质押,流通A股,10,2019-09-30
000514,59845,890.86万,1.06%,无质押,流通A股,2,2019-09-30
000514,59846,253.94万,0.30%,无质押,流通A股,4,2019-09-30
000514,59847,209.43万,0.25%,无质押,流通A股,5,2019-09-30
000514,59848,141.36万,0.17%,无质押,流通A股,7,2019-09-30
000514,59849,139.28万,0.17%,无质押,流通A股,8,2019-09-30
000516,59850,636.91万,0.32%,无质押,流通A股,10,2019-09-30
000516,6259,5439.78万,2.76%,无质押,"受限流通股,流通A股",3,2019-09-30
000516,59851,895.33万,0.45%,无质押,流通A股,9,2019-09-30
000517,59852,440.52万,0.14%,无质押,流通A股,10,2019-09-30
000517,3019,9.45亿,29.68%,5.16%,"受限流通股,流通A股",2,2019-09-30
000517,59853,651.51万,0.20%,无质押,流通A股,5,2019-09-30
000517,59854,544.78万,0.17%,无质押,流通A股,7,2019-09-30
000517,59855,449.99万,0.14%,无质押,流通A股,8,2019-09-30
000517,59856,449.51万,0.14%,无质押,流通A股,9,2019-09-30
000518,59857,1.44亿,14.00%,99.99%,流通A股,1,2019-09-30
000518,59858,2593.91万,2.52%,无质押,流通A股,10,2019-09-30
000518,59859,4735.78万,4.60%,98.76%,流通A股,3,2019-09-30
000518,59860,4306.29万,4.18%,92.89%,流通A股,4,2019-09-30
000518,59861,3733.03万,3.63%,100.00%,流通A股,5,2019-09-30
000518,59862,3213.92万,3.12%,61.08%,流通A股,6,2019-09-30
000518,59863,2876.89万,2.79%,98.02%,流通A股,8,2019-09-30
000518,59864,2609.68万,2.53%,88.13%,流通A股,9,2019-09-30
000520,59865,457.21万,0.45%,-,流通A股,10,2019-09-30
000520,59866,718.63万,0.71%,-,流通A股,8,2019-09-30
000521,59867,587.50万,0.56%,-,流通A股,8,2019-09-30
000521,59868,468.00万,0.45%,-,流通A股,9,2019-09-30
000523,59869,207.22万,0.33%,-,流通A股,10,2019-09-30
000523,59870,630.00万,1.00%,-,流通A股,3,2019-09-30
000523,59871,503.81万,0.80%,-,流通A股,4,2019-09-30
000523,59872,416.60万,0.66%,-,流通A股,5,2019-09-30
000523,59873,399.00万,0.64%,-,流通A股,6,2019-09-30
000523,59874,380.42万,0.61%,-,流通A股,7,2019-09-30
000524,59875,100.71万,0.15%,-,流通A股,10,2019-09-30
000524,59876,201.19万,0.30%,-,流通A股,8,2019-09-30
000526,59877,110.30万,1.15%,-,流通A股,10,2019-09-30
000526,59878,171.67万,1.78%,-,流通A股,7,2019-09-30
000526,59879,161.86万,1.68%,-,流通A股,8,2019-09-30
000526,59880,150.00万,1.56%,-,流通A股,9,2019-09-30
000529,59881,200.02万,0.34%,-,流通A股,10,2019-09-30
000529,59882,500.00万,0.86%,-,流通A股,5,2019-09-30
000529,59883,340.00万,0.58%,-,流通A股,6,2019-09-30
000529,59884,212.00万,0.36%,-,流通A股,7,2019-09-30
000529,59885,210.00万,0.36%,-,流通A股,9,2019-09-30
000530,59886,272.59万,0.32%,-,流通A股,10,2019-09-30
000530,59887,640.00万,0.76%,-,流通B股,3,2019-09-30
000530,59888,450.00万,0.53%,-,流通B股,4,2019-09-30
000530,59889,438.41万,0.52%,-,流通B股,5,2019-09-30
000530,59890,302.00万,0.36%,-,流通A股,8,2019-09-30
000530,59891,294.00万,0.35%,-,流通B股,9,2019-09-30
000531,59892,212.50万,0.31%,-,流通A股,10,2019-09-30
000531,59893,970.00万,1.42%,-,流通A股,6,2019-09-30
000531,59894,227.00万,0.33%,-,流通A股,7,2019-09-30
000531,59895,225.99万,0.33%,-,流通A股,8,2019-09-30
000531,59896,218.46万,0.32%,-,流通A股,9,2019-09-30
000532,59897,80.58万,0.23%,无质押,流通A股,10,2019-09-30
000532,59898,170.81万,0.50%,无质押,流通A股,7,2019-09-30
000532,59899,90.00万,0.26%,无质押,流通A股,8,2019-09-30
000532,59900,82.93万,0.24%,无质押,流通A股,9,2019-09-30
000533,59901,272.00万,0.39%,-,流通A股,10,2019-09-30
000533,59902,9290.21万,13.45%,-,流通A股,2,2019-09-30
000533,59903,5447.21万,7.89%,-,流通A股,3,2019-09-30
000533,59904,751.60万,1.09%,-,流通A股,6,2019-09-30
000533,59905,385.57万,0.56%,-,流通A股,8,2019-09-30
000533,59906,298.50万,0.43%,-,流通A股,9,2019-09-30
000534,59907,1772.31万,3.60%,无质押,流通A股,3,2019-09-30
000534,59908,509.97万,1.04%,无质押,流通A股,5,2019-09-30
000534,59909,463.71万,0.94%,无质押,流通A股,6,2019-09-30
000536,59910,1523.59万,0.55%,无质押,流通A股,10,2019-09-30
000537,59911,489.85万,0.26%,-,流通A股,10,2019-09-30
000537,59912,911.84万,0.49%,-,流通A股,5,2019-09-30
000537,59913,821.55万,0.44%,-,流通A股,7,2019-09-30
000539,59914,3160.60万,0.60%,-,流通A股,5,2019-09-30
000539,59915,2323.49万,0.44%,-,流通B股,6,2019-09-30
000540,29696,1143.26万,0.16%,29.32%,"受限流通股,流通A股",10,2019-09-30
000540,59916,2080.00万,0.30%,无质押,流通A股,7,2019-09-30
000540,59917,1438.15万,0.21%,无质押,流通A股,8,2019-09-30
000540,59918,1256.61万,0.18%,无质押,流通A股,9,2019-09-30
000541,43842,1190.35万,0.85%,无质押,"受限流通股,流通A股",10,2019-09-30
000543,59919,1240.49万,0.55%,-,流通A股,8,2019-09-30
000544,59920,160.00万,0.16%,无质押,流通A股,10,2019-09-30
000544,59921,335.09万,0.34%,无质押,流通A股,5,2019-09-30
000544,59922,215.72万,0.22%,无质押,流通A股,7,2019-09-30
000544,59923,200.00万,0.21%,无质押,流通A股,8,2019-09-30
000544,59924,170.00万,0.17%,无质押,流通A股,9,2019-09-30
000545,59925,172.88万,0.18%,无质押,流通A股,10,2019-09-30
000545,59926,776.19万,0.79%,无质押,流通A股,4,2019-09-30
000545,59927,425.88万,0.43%,无质押,流通A股,5,2019-09-30
000545,59928,380.35万,0.39%,无质押,流通A股,6,2019-09-30
000545,59929,342.58万,0.35%,无质押,流通A股,7,2019-09-30
000545,59930,241.50万,0.24%,无质押,流通A股,8,2019-09-30
000545,59931,230.00万,0.23%,无质押,流通A股,9,2019-09-30
000546,59932,3989.87万,5.58%,74.94%,流通A股,2,2019-09-30
000546,59933,3500.00万,4.90%,81.43%,流通A股,3,2019-09-30
000546,59934,2070.80万,2.90%,79.68%,受限流通股,6,2019-09-30
000547,59935,4998.70万,3.11%,100.00%,受限流通股,7,2019-09-30
000547,59936,2536.23万,1.58%,无质押,流通A股,9,2019-09-30
