股票代码,股东股票代码2,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
002009,000581,471.00万,1.27%,无质押,流通A股,4,2019-09-30
002014,002701,1.13亿,22.50%,99.99%,流通A股,2,2019-09-30
002021,600369,3700.00万,5.38%,无质押,流通A股,3,2019-10-18
002033,002004,7837.05万,14.26%,100.00%,流通A股,2,2019-09-30
002040,600018,4974.96万,10.28%,-,流通A股,2,2019-09-30
002045,000676,2300.81万,4.91%,-,流通A股,2,2019-10-29
002049,600100,1207.93万,1.99%,-,流通A股,2,2019-09-30
002063,600795,5264.23万,6.20%,-,流通A股,3,2019-09-30
002074,000541,4545.55万,4.00%,无质押,流通A股,3,2019-11-08
002085,002252,4220.00万,1.93%,无质押,流通A股,8,2019-09-30
002088,601377,1200.00万,3.32%,-,流通A股,4,2019-09-30
002094,002336,2521.97万,3.64%,无质押,流通A股,4,2019-09-30
002096,600030,223.45万,0.60%,-,流通A股,7,2019-09-30
002101,600152,1234.85万,2.32%,无质押,流通A股,6,2019-09-30
002109,002783,168.00万,0.16%,-,流通A股,8,2019-09-30
002110,601555,1548.50万,0.63%,无质押,流通A股,10,2019-09-30
002116,600833,2288.99万,5.48%,-,流通A股,2,2019-09-30
002117,000977,1945.83万,3.57%,-,流通A股,4,2019-09-30
002138,601066,796.42万,0.99%,无质押,流通A股,10,2019-09-30
002142,600177,7.96亿,14.15%,无质押,流通A股,3,2019-09-30
002142,600884,8344.72万,1.48%,无质押,流通A股,7,2019-09-30
002195,002266,6.79亿,11.77%,-,流通A股,1,2019-12-11
002217,002594,3.46亿,11.11%,-,流通A股,3,2019-12-12
002221,601066,2029.61万,1.23%,无质押,流通A股,10,2019-09-30
002229,601881,290.00万,0.58%,无质押,流通A股,6,2019-09-30
002237,600362,2.73亿,29.99%,无质押,流通A股,1,2019-09-30
002239,601788,3994.88万,1.28%,无质押,流通A股,10,2019-09-30
002249,600366,3245.00万,1.37%,无质押,流通A股,9,2019-09-30
002265,600112,461.79万,1.45%,-,"受限流通股,流通A股",4,2019-09-30
002278,603619,871.62万,2.40%,无质押,流通A股,8,2019-09-30
