股票代码,pid
300233,53234
300234,33274
300235,9487
300236,32740
300237,2328
300238,53402
300239,29690
300240,15430
300241,36852
300242,1770
300243,7934
300244,18677
300245,44874
300246,43804
300247,15346
300248,19804
300249,26954
300250,18711
300251,15119
300252,44392
300253,12958
300254,21211
300255,43862
300256,44575
300257,37166
300258,23055
300259,4340
300260,39076
300261,36587
300262,25002
300263,13314
300264,33291
300265,40216
300266,44986
300267,51081
300268,14968
300269,30187
300270,9015
300271,7656
300272,16366
300273,11141
300274,17807
300275,2804
300276,49195
300277,11389
300278,50813
300279,43041
300280,38511
300281,33243
300282,47270
300283,5163
300284,36951
300285,20621
300286,9204
300287,21741
300288,31959
300289,37349
300290,17035
300291,5810
300292,35551
300293,41526
300294,32733
300295,25127
300296,21778
300297,30388
300298,14427
300299,43326
300300,14666
300301,53749
300302,23596
300303,54021
300304,13910
300305,12486
300306,8996
300307,45565
300308,20634
300309,3276
300310,42057
300311,6911
300312,35265
300313,23110
300314,3014
300315,36686
300316,15963
300317,51249
300318,53431
300319,7720
300320,20504
300321,53061
300322,53846
300323,22271
300324,1462
300325,38450
300326,33733
300327,44890
300328,41123
300329,44700
300330,37870
300331,15337
300332,50427
300333,13207
300334,3704
300335,7393
300336,33153
300337,16093
300338,12525
300339,26851
300340,32692
300341,35126
300342,29604
300343,35967
300344,29569
300345,49938
300346,22211
300347,8865
300348,14825
300349,18414
300350,35528
300351,12146
300352,21281
300353,50368
300354,15099
300355,27741
300356,29876
300357,11274
300358,48718
300359,37679
300360,10742
300362,51322
300363,30402
300364,20280
300365,44837
300366,26624
300367,10588
300368,28985
300369,9474
300370,31781
300371,43633
300373,32284
300374,13888
300375,53683
300376,13652
300377,28212
300378,53304
300379,18839
300380,47946
300381,46494
300382,10823
300383,28016
300384,12678
300385,5839
300386,42822
300387,22191
300388,48471
300389,8853
300390,5723
300391,37656
300392,28767
300393,41816
300394,15052
300395,16845
300396,11667
300398,8624
300399,22463
300400,4925
300401,17998
300402,259
300403,37376
300404,22521
300405,31054
300406,6433
300407,45124
300408,3449
300409,15020
300410,18826
300411,17378
300412,7334
300413,39645
300415,39214
300416,44314
300417,44539
300418,48510
300419,12320
300420,54143
300421,35511
300422,7989
300423,45096
300424,22908
300425,34837
300426,28186
300427,37624
300428,28750
300429,49043
300430,32781
300431,51722
300432,18438
300433,21237
300434,41138
300435,20860
300436,15665
300437,31729
300438,28346
300439,7958
300440,47351
300441,20499
300442,31544
300443,44808
300444,46210
300445,26622
300446,39376
300447,31415
300448,10000
300449,27679
300451,20582
300452,27008
300453,28589
300454,5077
300455,22414
300456,4211
300457,45012
300458,32422
300459,19411
300460,32313
300461,42107
300462,18610
300463,142
300464,3228
300465,32902
300466,5197
300467,10296
300468,48059
300469,10684
300470,33019
300471,11863
300472,20480
300473,22021
300474,34712
300475,5355
300476,34196
300477,27395
300478,28730
300479,47299
300480,53381
300481,1468
300482,47771
300483,28101
300484,14042
300485,31577
300486,11032
300488,39057
300489,29884
300490,54201
300491,52218
300492,47574
300493,7562
300494,45739
300495,20285
300496,16367
300497,51063
300498,11282
300499,1485
300500,5631
300501,23213
300502,29253
300503,30530
300504,35767
300505,35554
300506,1747
300507,27244
300508,49413
300509,27310
300510,20203
300511,44324
300512,38833
300513,44676
300514,45679
300515,2099
300516,555
300517,30221
300518,32416
300519,6425
300520,8951
300521,1384
300522,30464
300523,15296
300525,53755
300526,36313
300527,17565
300528,25393
300529,22447
300530,36524
300531,15619
300532,1045
300533,39820
300534,35738
300535,34209
300536,33649
300537,23256
300538,46760
300539,31261
300540,6886
300541,41074
300542,36776
300543,44476
300545,5387
300546,52447
300547,35144
300548,50136
300549,52010
300550,37594
300551,47236
300552,17224
300553,13404
300554,19242
300555,27476
300556,45037
300557,36541
300558,4731
300559,34418
300560,8781
300561,20723
300562,4077
300563,22224
300564,16532
300565,45115
300566,36848
300567,52655
300568,31692
300569,41784
300570,15921
300571,5152
300572,29076
300573,14496
300575,53278
300576,16147
300577,33969
300578,17278
300579,40995
300580,7432
300581,8623
300582,12576
300583,36913
300584,43245
300585,14789
300586,7686
300587,16662
300588,7309
300589,35392
300590,20585
300591,22188
300592,49307
300593,38530
300594,4356
300595,43408
300596,22826
300597,26072
300598,44173
300599,9176
300600,47551
300601,614
300602,45713
300603,11932
300604,28570
300605,54095
300606,19867
300607,409
300608,1191
300609,6128
300610,50542
300611,41983
300612,35193
300613,13891
300615,35297
300616,15211
300617,22204
300618,39693
300619,44187
300620,4433
300621,21849
300622,19771
300623,53421
300624,53019
300625,35054
300626,31388
300627,25752
300628,45070
300629,43763
300630,26751
300631,21927
300632,38888
300633,30072
300634,45862
300635,39428
300636,23320
300637,42471
300638,27048
300639,14776
300640,2058
300641,5391
300642,38927
300643,9346
300644,49379
300645,53540
300647,48126
300648,47893
300649,26493
300650,17599
300651,31747
300652,2818
300653,48530
300654,39568
300655,21950
300656,52562
300657,3831
300658,3570
300659,23987
300660,19954
300661,51775
300662,2174
300663,20094
300664,33102
300665,50560
300666,10110
300667,11035
300668,40369
300669,29542
300670,19248
300671,4506
300672,20568
300673,32990
300674,27037
300675,28694
300676,52817
300677,9286
300678,16413
300679,15000
300680,24551
300681,28320
300682,20457
300683,26772
300684,22627
300685,27910
300686,43060
300687,44103
300688,24371
300689,41251
300690,27276
300691,2233
300692,43447
300693,41086
300694,18001
300695,25069
300696,15668
300697,20709
300698,2710
300699,47108
300700,13610
300701,47501
300702,14829
300703,50271
300705,51599
300706,28066
300707,22602
300708,18832
300709,45011
300710,44353
300711,6143
300712,45947
300713,49634
300715,6541
300716,9472
300717,44085
300718,31488
300719,28657
300720,29111
300721,16243
300722,49882
300723,52494
300724,354
300725,9148
300726,13042
300727,47206
300729,33548
300730,31315
300731,24433
300732,39931
300733,18018
300735,15011
300736,18870
300737,23730
300738,30442
300739,58
300740,1445
300741,14957
300742,24683
300743,46698
300745,7114
300746,3327
300747,1031
300748,41135
300749,46877
300750,20516
300751,23191
300752,40813
300753,43480
300755,36459
300756,33185
300757,14616
300758,13439
300759,2122
300760,48093
300761,10682
300762,13264
300763,16633
300765,4578
300766,20712
300767,21090
300768,23160
300769,10979
300770,32905
300771,27280
300772,16281
300773,5739
300776,9785
300777,30217
300778,8466
300779,1136
300780,53824
300781,14923
300782,42061
300783,5895
300785,34833
300786,2371
300787,32092
300788,39585
300789,45685
300790,37980
300791,33478
300792,30525
300793,19941
300795,6663
300796,8236
300797,10959
300798,37441
300799,46865
300800,49526
300801,42379
300802,25713
300803,45340
