股票代码,pid
300676,19897
300677,11256
300681,28320
300688,24371
300689,41251
300690,45021
300692,37391
300694,18001
300701,53290
300703,50271
300705,45275
300707,30223
300708,18832
300713,49634
300715,48770
300717,44085
300718,29767
300719,28657
300720,29111
300721,16243
300725,20926
300731,24433
300735,15011
300736,18870
300738,44148
300739,27549
300740,1445
300742,24683
300753,10813
300755,24502
300762,5757
300766,20712
300767,21090
300768,23160
300771,27280
300776,9785
300778,5380
300779,1136
300783,5895
300785,23848
300786,2371
300787,32092
300792,30525
300796,12410
300798,37441
300800,13039
300801,42379
300802,8954
430198,30374
430229,14080
430447,46771
430515,49646
600031,36564
600051,8765
600077,44409
600080,5034
600086,54351
600089,31221
600094,2052
600095,54352
600110,13209
600143,38827
600146,32603
600152,22960
600155,54353
600157,38908
600172,12083
600175,38031
600177,30297
600180,54354
600200,182
600208,54355
600209,52377
600210,26271
600211,54356
600215,11593
600216,47791
600226,20967
600227,24135
600232,45894
600242,54357
600247,54358
600273,7380
600276,51504
600277,39162
600289,54359
600293,22248
600308,54360
600321,47843
600327,54361
600330,42139
600337,50309
600340,13961
600351,26143
600353,54362
600355,52855
600360,54363
600363,34783
600365,49317
600380,33213
600381,537
600388,54364
600393,45457
600398,31849
600405,51895
600408,54365
600438,13983
600439,21428
600466,30124
600467,11910
600477,47663
600478,7679
600481,32069
600485,35740
600487,5235
600491,33026
600493,42390
600503,54366
600512,16875
600518,22275
600521,50551
600522,26241
600527,41304
600539,12437
600545,37392
600557,1420
600566,15207
600570,54367
600571,38225
600572,18578
600580,28788
600588,6972
600594,12015
600596,54368
600605,54369
600615,54370
600643,5775
600645,19977
600660,2870
600678,39132
600681,51041
600694,33224
600695,40176
600696,24858
600699,7765
600702,54371
600728,45063
600732,9084
600734,39986
600735,54372
600745,12583
600749,54373
600753,8702
600763,11779
600770,22325
600774,14741
600778,54374
600781,43271
600803,47120
600804,4862
600811,13857
600818,54375
600823,31673
600847,31342
600869,175
600882,51971
600885,23951
600888,31221
600892,21695
600896,50684
600903,54376
600933,50188
600986,52553
600989,36114
600998,17151
601011,7316
601015,50098
601020,47706
601021,21593
601028,31384
601058,2721
601116,38562
601127,28504
601137,37229
601155,54377
601208,39207
601218,36655
601222,31083
601233,15616
601311,30767
601360,3473
601566,42966
601599,6691
601616,3697
601619,26377
601633,29456
601636,16106
601677,1629
601799,35780
601828,32543
601877,43976
601996,20176
603001,47439
603008,15700
603009,21035
603011,40185
603012,11889
603017,44552
603020,26975
603022,3947
603023,39715
603027,32469
603030,30119
603039,45881
603041,35759
603042,13592
603045,20560
603056,34589
603059,54281
603066,48314
603067,25200
603077,17413
603078,34233
603079,27112
