股票代码,公司名称
002084,唐台英及其家人、戎启平及其家人
002085,陈爱莲、吴良定家族
002087,新野县财政局
002088,Behdad Eghbali、José E. Feliciano
002089,张亦斌、马玲芝
002090,叶留金、朱华明、徐兵、贺安鹰、丁小异
002091,江苏国泰国际贸易有限公司
002092,新疆维吾尔自治区人民政府国有资产监督管理委员会
002093,陈国鹰、林惠榕、林金全
002096,湖南省人民政府国有资产监督管理委员会
002097,广州市人民政府
002099,王云富
002100,新疆生产建设兵团国有资产经营有限责任公司
002101,广东省人民政府
002102,林福椿、林文智、林文昌、林文洪
002106,国务院国有资产监督管理委员会
002109,陕西省人民政府国有资产监督管理委员会
002110,福建省人民政府国有资产监督管理委员会
002112,浙江省三门县人民政府
002113,赖淦锋
002114,罗平县财政局
002116,国务院国有资产监督管理委员会
002118,郭春生
002120,聂腾云、陈立英
002122,徐茂栋
002125,湘潭市国有资产监督管理委员会
002127,张玉祥、朱雪莲
002128,国务院国有资产监督管理委员会
002129,天津市人民政府国有资产监督管理委员会
002130,周和平
002132,谢保军
002134,天津市人民政府国有资产监督管理委员会
002136,铜陵市国有资产监督管理委员会
002137,陈亚妹、乔昕
002140,中国化学工程集团有限公司
002141,谢松锋、谢海滔
002145,王泽龙
002147,虞云新、周晓光
002149,陕西省财政厅
002152,广州市国有资产监督管理委员会
002154,吴婷婷、吴志泽
002155,湖南省人民政府国有资产监督管理委员会
002159,艾路明
002161,徐玉锁、陈光珠
002163,国务院国有资产监督管理委员会
002164,宋济隆、许丽萍
002168,汪超涌、李亦非
002169,李永喜
002173,陈夏英
002176,朱军、卢顺民
002177,杨文江
002179,中国航空工业集团有限公司
002180,汪东颖、李东飞、曾阳云
002181,广州市国有经营性文化资产监督管理办公室
002183,深圳市人民政府国有资产监督管理委员会
002184,许泓、郭孟榕
002185,肖胜利、肖智成、刘建军、崔卫兵、张玉明、宋勇、张兴安、陈建军、薛延童、杨前进、周永寿、常文瑛、乔少华
002186,北京市国有资产监督管理委员会
002187,广州市人民政府国有资产监督管理委员会
002188,楼永良
002189,国务院国有资产监督管理委员会
002190,中国航空工业集团有限公司
002192,吕向阳、张长虹
002194,王丽丽、孟庆南
002197,曾胜强、许忠桂
002200,云南省国有资产监督管理委员会
002203,冯海良
002204,大连市人民政府国有资产监督管理委员会
002205,国务院国有资产监督管理委员会
002207,解直锟
002208,合肥市国有资产监督管理委员会
002210,黄壮勉
002212,郑钟南
002215,卢柏强、卢翠冬、卢丽红、卢翠珠、卢叙安
002216,贾岭达、陈南、陈希、陈泽民
002217,福建省人民政府国有资产监督管理委员会
002218,李粉莉、陈琛、陈五奎
002221,周一峰、王铭祥
002222,中国科学院福建物质结构研究所
002224,吴培生、吴琼瑛
002225,刘百宽家族
002228,许晓光、许晓荣、吕秀英、许天津
002229,尤丽娟、尤友岳、尤友鸾、尤玉仙、章棉桃
002230,刘庆峰、中科大资产经营有限责任公司
002231,单川、吴琼
002232,国务院国有资产监督管理委员会
002235,林旭曦、张杰
002236,傅利泉、陈爱玲
