股票代码,公司名称,持有数量,占总股比例,质押占其直接持股比例,股份类型,十大股东排名,日期
000789,浙江上峰建材有限公司,847.23万,1.06%,-,流通A股,4,2019-09-30
000829,北京国际信托有限公司,8630.00万,8.32%,无质押,流通A股,4,2019-09-30
000850,天津泰达股权投资基金管理有限公司,1630.00万,1.73%,-,流通A股,2,2019-09-30
000851,大唐高新创业投资有限公司,405.28万,0.45%,无质押,流通A股,9,2019-09-30
000856,冀东发展集团有限责任公司,6810.00万,30.00%,-,流通A股,1,2019-09-30
000862,中铝宁夏能源集团有限公司,2.84亿,40.23%,-,"受限流通股,流通A股",1,2019-09-30
000878,深圳金汇期货经纪有限公司,2673.80万,1.57%,无质押,受限流通股,7,2019-09-30
000883,长电资本控股有限责任公司,2.12亿,3.26%,无质押,流通A股,5,2019-09-30
000885,长江日昇投资有限公司,200.00万,0.40%,无质押,流通A股,7,2019-09-30
000889,深圳茂业百货有限公司,1243.61万,1.86%,无质押,流通A股,6,2019-09-30
000901,国机资本控股有限公司,979.05万,1.59%,-,流通A股,5,2019-09-30
000910,江苏费马投资管理有限公司,648.51万,1.17%,无质押,流通A股,8,2019-09-30
000927,一汽财务有限公司,296.04万,0.19%,-,流通A股,5,2019-12-05
000968,山西高新普惠旅游文化发展有限公司,1739.13万,1.80%,100.00%,受限流通股,7,2019-09-30
000968,山证投资有限责任公司,1304.35万,1.35%,无质押,受限流通股,8,2019-09-30
000983,上海宝钢国际经济贸易有限公司,4264.83万,1.35%,-,流通A股,5,2019-09-30
002011,浙江盾安精工集团有限公司,2.70亿,29.48%,100.00%,流通A股,1,2019-09-30
002011,国机财务有限责任公司,1654.11万,1.80%,无质押,流通A股,4,2019-09-30
002011,中广核财务有限责任公司,655.08万,0.71%,无质押,流通A股,8,2019-09-30
002013,中航航空产业投资有限公司,1.17亿,3.23%,-,流通A股,3,2019-09-30
002014,北京奥瑞金包装容器有限公司,845.26万,1.68%,99.97%,流通A股,6,2019-09-30
002033,丽江玉龙雪山旅游开发有限责任公司,8643.84万,15.73%,无质押,流通A股,1,2019-09-30
002034,三峡资本控股有限责任公司,1087.10万,2.61%,无质押,流通A股,4,2019-09-30
002039,长电资本控股有限责任公司,1516.98万,4.97%,-,流通A股,3,2019-09-30
002039,宁波宁电投资发展有限公司,472.16万,1.55%,-,流通A股,7,2019-09-30
002046,国机资本控股有限公司,612.11万,1.17%,-,受限流通股,3,2019-09-30
002061,五矿资本控股有限公司,729.05万,0.53%,-,流通A股,10,2019-09-30
002069,江苏汇鸿国际集团中鼎控股股份有限公司,216.00万,0.30%,无质押,流通A股,10,2019-09-30
002106,深圳市市政工程总公司,5196.54万,7.36%,-,流通A股,2,2019-09-30
002119,宁波普利赛思电子有限公司,7400.92万,19.72%,无质押,流通A股,1,2019-09-30
002129,国电科技环保集团股份有限公司,8398.31万,3.02%,-,受限流通股,3,2019-09-30
002140,化学工业第三设计院有限公司,3.17亿,59.22%,无质押,流通A股,1,2019-09-30
002159,中铁第四勘察设计院集团有限公司,119.34万,0.86%,无质押,流通A股,10,2019-09-30
002164,深圳市创新投资集团有限公司,1765.55万,2.52%,无质押,受限流通股,7,2019-09-30
002171,国家军民融合产业投资基金有限责任公司,9124.09万,6.84%,无质押,受限流通股,2,2019-10-21
002190,成都凯天电子股份有限公司,329.01万,0.92%,-,流通A股,2,2019-09-30
002247,杭州哲信信息技术有限公司,2953.54万,3.47%,33.86%,受限流通股,7,2019-09-30
002248,山东省高新技术创业投资有限公司,1509.07万,4.91%,-,流通A股,2,2019-09-30
002302,中建新疆建工(集团)有限公司,3.97亿,31.43%,-,"流通A股,受限流通股",1,2019-09-30
002302,中国建筑第三工程局有限公司,1.55亿,12.29%,-,流通A股,3,2019-09-30
002302,中国建筑第五工程局有限公司,3890.61万,3.08%,-,流通A股,4,2019-09-30
002302,中国建筑第四工程局有限公司,2131.53万,1.69%,-,流通A股,5,2019-09-30
002305,中国电建地产集团有限公司,3.89亿,22.43%,-,流通A股,1,2019-11-20
002314,中国南山开发(集团)股份有限公司,13.70亿,50.58%,-,"受限流通股,流通A股",1,2019-09-30
