股票代码,公司名称,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
300481,北京芯动能投资基金(有限合伙),597.31万,2.33%,流通A股,2,2019-09-30
300489,深圳市创新投资集团有限公司,60.07万,0.84%,流通A股,8,2019-09-30
300491,宏源汇富创业投资有限公司,270.43万,2.29%,流通A股,6,2019-09-30
300497,华创证券有限责任公司,1481.60万,7.73%,流通A股,2,2019-09-30
300579,上海市数字证书认证中心有限公司,192.34万,2.91%,流通A股,1,2019-09-30
300582,浙江华睿泰信创业投资有限公司,1300.00万,11.30%,流通A股,1,2019-09-30
300582,浙江华睿海越光电产业创业投资有限公司,308.00万,2.68%,流通A股,5,2019-09-30
300592,深圳市创新投资集团有限公司,939.88万,10.84%,流通A股,1,2019-09-30
300611,长江成长资本投资有限公司,1129.42万,15.39%,流通A股,1,2019-09-30
300624,浙江华睿盛银创业投资有限公司,749.14万,15.16%,流通A股,1,2019-09-30
300627,广发信德投资管理有限公司,385.53万,3.74%,流通A股,3,2019-09-30
300641,深圳市创新投资集团有限公司,2458.22万,11.00%,流通A股,2,2019-09-30
300654,宁波兴富先锋投资合伙企业(有限合伙),214.97万,3.28%,流通A股,3,2019-09-30
300657,国泰君安创新投资有限公司,706.72万,6.33%,流通A股,4,2019-09-30
300663,杭州兆富投资合伙企业(有限合伙),906.67万,4.91%,流通A股,3,2019-09-30
300675,深圳市创新投资集团有限公司,142.84万,1.77%,流通A股,4,2019-09-30
300677,深圳市创新投资集团有限公司,1625.28万,14.41%,流通A股,1,2019-09-30
300684,深圳市创新投资集团有限公司,1384.44万,14.11%,流通A股,1,2019-09-30
300688,北京用友创新投资中心(有限合伙),92.26万,1.80%,流通A股,4,2019-09-30
300690,江苏省高科技产业投资股份有限公司,554.00万,10.61%,流通A股,1,2019-09-30
300697,渤海证券股份有限公司,29.58万,0.57%,流通A股,6,2019-09-30
300716,深圳市创新投资集团有限公司,287.75万,3.04%,流通A股,5,2019-09-30
300731,苏州天利投资有限公司,2278.91万,27.72%,流通A股,1,2019-10-09
300731,五矿证券有限公司,350.71万,4.27%,流通A股,4,2019-10-09
300738,深圳索菲亚投资管理有限公司,336.44万,5.58%,流通A股,1,2019-09-30
300740,深圳市创新投资集团有限公司,1443.90万,6.46%,流通A股,3,2019-09-30
300742,伊犁苏新投资基金合伙企业(有限合伙),463.36万,10.79%,流通A股,1,2019-09-30
300742,上海汉王歌石股权投资基金合伙企业(有限合伙),294.96万,6.87%,流通A股,2,2019-09-30
300747,武汉华工激光工程有限责任公司,271.08万,2.75%,流通A股,5,2019-09-30
300748,金风投资控股有限公司,6000.00万,23.58%,流通A股,1,2019-09-30
300748,上海尚颀德连投资中心(有限合伙),1182.83万,4.65%,流通A股,5,2019-09-30
300755,共青城银汐投资管理合伙企业(有限合伙),100.44万,1.74%,流通A股,4,2019-09-30
600015,中国人民财产保险股份有限公司,25.63亿,19.99%,流通A股,2,2019-09-30
600016,新希望六和投资有限公司,18.28亿,4.18%,流通A股,5,2019-09-30
600039,安徽省中安金融资产管理股份有限公司,5115.09万,1.48%,流通A股,3,2019-09-30
600061,中铁二十二局集团有限公司,6116.78万,1.47%,流通A股,7,2019-09-30
600070,浙江瓯联创业投资有限公司,409.73万,0.93%,流通A股,9,2019-09-30
600098,长电资本控股有限责任公司,5400.00万,1.98%,流通A股,3,2019-09-30
600116,三峡资本控股有限责任公司,4053.08万,4.08%,流通A股,4,2019-09-30
600116,长电资本控股有限责任公司,3891.42万,3.92%,流通A股,5,2019-09-30
600117,西宁特殊钢集团有限责任公司,3.70亿,49.87%,流通A股,1,2019-09-30
600168,三峡资本控股有限责任公司,3476.84万,4.90%,流通A股,3,2019-09-30
600173,浙江卧龙置业投资有限公司,3.14亿,44.88%,流通A股,1,2019-09-30
600184,安信证券股份有限公司,1017.52万,2.00%,流通A股,10,2019-09-30
600185,杭州滨创股权投资有限公司,3126.84万,1.52%,流通A股,8,2019-09-30
600206,中国稀有稀土股份有限公司,2000.00万,2.38%,流通A股,2,2019-09-30
600223,上海方大投资管理有限责任公司,4929.69万,4.92%,流通A股,2,2019-09-30
600226,国盛证券有限责任公司,6055.73万,3.04%,流通A股,5,2019-09-30
600260,江海证券有限公司,2712.90万,2.87%,流通A股,2,2019-09-30
600267,渤海证券股份有限公司,468.44万,0.49%,流通A股,10,2019-09-30
600276,中国医药投资有限公司,1.85亿,4.20%,流通A股,5,2019-09-30
600290,中广核财务有限责任公司,701.64万,0.92%,流通A股,10,2019-09-30
600315,上海家化(集团)有限公司,3.17亿,47.25%,流通A股,1,2019-09-30
600331,四川川商发展控股集团有限公司,1002.00万,0.49%,流通A股,7,2019-09-30
600335,广发乾和投资有限公司,541.74万,0.53%,流通A股,9,2019-09-30
600351,新余市合盛锦禾投资管理中心(有限合伙),817.56万,1.06%,流通A股,7,2019-09-30
600379,中冀投资股份有限公司,499.88万,1.51%,流通A股,6,2019-09-30
600399,东北特殊钢集团股份有限公司,5.77亿,29.25%,流通A股,1,2019-09-30
600444,熊猫财务顾问管理有限公司,227.38万,1.55%,流通A股,6,2019-09-30
600458,中车株洲电力机车研究所有限公司,2.92亿,36.43%,流通A股,1,2019-09-30
600458,中车株洲电力机车有限公司,1233.88万,1.54%,流通A股,4,2019-09-30
600458,中车资阳机车有限公司,717.97万,0.89%,流通A股,6,2019-09-30
600458,中车大连机车车辆有限公司,557.45万,0.69%,流通A股,8,2019-09-30
600461,三峡资本控股有限责任公司,3869.00万,4.90%,流通A股,5,2019-09-30
600483,三峡资本控股有限责任公司,1.15亿,7.40%,流通A股,2,2019-09-30
600483,上海汽车集团股权投资有限公司,2173.91万,1.40%,流通A股,7,2019-09-30
600486,江苏扬农化工集团有限公司,1.12亿,36.17%,流通A股,1,2019-09-30
600488,天津药业集团有限公司,4.50亿,46.05%,流通A股,1,2019-09-30
600488,天津宜药印务有限公司,381.28万,0.39%,流通A股,5,2019-09-30
600508,上海宝钢国际经济贸易有限公司,557.27万,0.77%,流通A股,2,2019-09-30
600517,安泰创业投资(深圳)有限公司,364.00万,0.27%,流通A股,10,2019-09-30
600528,中铁二局建设有限公司,6.35亿,34.55%,流通A股,1,2019-09-30
600535,天士力控股集团有限公司,6.83亿,45.18%,流通A股,1,2019-09-30
600555,上海大新华实业有限公司,1.17亿,8.97%,流通A股,2,2019-09-30
600568,华创证券有限责任公司,1200.00万,0.77%,流通A股,9,2019-09-30
600586,航天科工财务有限责任公司,1960.00万,1.37%,流通A股,4,2019-09-30
600589,渤海证券股份有限公司,283.81万,0.40%,流通A股,8,2019-09-30
600596,中化农化有限公司,387.20万,0.56%,流通A股,10,2019-09-30
