pid,股票代码,职务,薪酬,直接持股数,高管类型
46920,000020,副总经理,36万,-,监事会
31966,000020,"副董事长,董事",-,-,董事会
25212,000020,"董事长,董事",48万,283万,董事会
8494,000020,"副总经理,财务总监",30万,-,监事会
37047,000020,独立董事,-,-,董事会
30820,000020,董事会秘书,-,-,监事会
47777,000020,独立董事,-,-,董事会
32562,000020,董事,-,-,董事会
36042,000020,监事,12万,-,监事会
42981,000020,监事会主席,-,-,监事会
46668,000021,副总裁,187.3万,8.25万,监事会
23458,000021,董事,-,-,董事会
37553,000021,"副董事长,董事",-,-,董事会
36693,000021,独立董事,-,-,董事会
34520,000021,职工监事,85.28万,15万,监事会
30985,000021,董事会秘书,39.43万,6万,监事会
6178,000021,监事会主席,-,-,监事会
43612,000021,董事,-,-,董事会
41202,000021,"副总裁,财务总监",187.7万,11.6万,监事会
34021,000021,副总裁,182.2万,2万,监事会
49731,000021,独立董事,8万,-,董事会
9105,000021,"董事长,董事",359.7万,167.1万,董事会
49070,000021,独立董事,8万,-,董事会
18645,000021,董事,537万,16.71万,董事会
49849,000021,董事,190.5万,15万,董事会
39279,000021,监事,-,-,监事会
37893,000023,"董事会秘书,副总经理",-,-,监事会
42356,000023,副总经理,64.4万,-,监事会
6440,000023,董事,-,-,董事会
19953,000023,监事,-,-,监事会
13282,000023,经营总监,57.24万,-,监事会
47900,000023,董事,-,-,董事会
1139,000023,董事,-,-,董事会
19718,000023,职工董事,-,-,董事会
22425,000023,"董事长,董事",-,-,董事会
33485,000023,监事,-,-,监事会
24122,000023,董事,-,-,董事会
9184,000023,独立董事,-,-,董事会
4460,000023,独立董事,-,-,董事会
16187,000023,职工监事,-,-,监事会
19932,000023,独立董事,-,-,董事会
51926,000023,职工监事,-,-,监事会
44951,000025,董事,-,-,董事会
54297,000025,副总经理,90.59万,-,监事会
20379,000025,职工监事,18.53万,-,监事会
38974,000025,董事,108.3万,-,董事会
1992,000025,董事,32.5万,-,董事会
20259,000025,"董事长,董事",-,-,董事会
14345,000025,董事,-,-,董事会
50646,000025,独立董事,3万,-,董事会
12502,000025,职工监事,13.93万,-,监事会
30681,000025,监事,-,-,监事会
40588,000025,独立董事,3万,-,董事会
13407,000025,董事会秘书,52.33万,-,监事会
19514,000025,独立董事,3万,-,董事会
38848,000025,副总经理,8.16万,-,监事会
36575,000025,董事,-,-,董事会
13892,000025,监事会主席,8.5万,-,监事会
6067,000025,监事,-,-,监事会
14453,000026,董事,-,-,董事会
24565,000026,副总经理,144.2万,5万,监事会
48620,000026,独立董事,3.48万,-,董事会
33091,000026,副总经理,-,-,监事会
34470,000026,副总经理,-,-,监事会
23135,000026,职工监事,-,-,监事会
30037,000026,副总经理,135.9万,5.004万,监事会
42884,000026,董事,-,-,董事会
44932,000026,"董事会秘书,副总经理",148.9万,5万,监事会
26572,000026,监事会主席,-,-,监事会
9266,000026,独立董事,3.48万,-,董事会
15735,000026,董事,-,-,董事会
21828,000026,职工监事,101.4万,-,监事会
49321,000026,董事,-,-,董事会
2863,000026,独立董事,3.48万,-,董事会
17743,000026,副总经理,135.9万,5万,监事会
28970,000026,总会计师,135.9万,5.1万,监事会
44816,000026,董事,153万,8万,董事会
49022,000026,"董事长,董事",102.3万,8万,董事会
50014,000027,董事,50万,-,董事会
29466,000027,职工监事,57.57万,-,监事会
22792,000027,独立董事,11.9万,-,董事会
39650,000027,副总经理,-,-,监事会
3451,000027,副总裁,-,-,监事会
43713,000027,董事,-,-,董事会
51060,000027,监事,-,-,监事会
15578,000027,总经济师,93.36万,-,高管
48858,000027,独立董事,11.9万,-,董事会
31614,000027,独立董事,-,-,董事会
48202,000027,董事,81.03万,-,董事会
419,000027,董事,96.13万,-,董事会
23380,000027,监事,-,-,监事会
25299,000027,副总裁,4.23万,-,监事会
49958,000027,"董事长,董事",127.5万,-,董事会
12592,000027,职工监事,70.53万,-,监事会
14589,000027,监事,-,-,监事会
48854,000027,副总裁,-,-,监事会
5475,000027,副总经理,102.3万,-,监事会
52341,000027,董事会秘书,88.7万,-,监事会
52317,000027,副总经理,96.81万,-,监事会
18203,000027,职工监事,61.79万,-,监事会
50055,000027,"副董事长,董事",-,-,董事会
45402,000027,监事会主席,50万,-,监事会
22760,000028,"董事长,董事",-,-,董事会
11205,000028,副总经理,-,-,监事会
12079,000028,监事,-,-,监事会
20445,000028,董事,-,-,董事会
41368,000028,监事会主席,-,-,监事会
11000,000028,董事,-,-,董事会
20466,000028,董事,-,-,董事会
43454,000028,董事,225万,-,董事会
39457,000028,副总经理,157.5万,-,监事会
37280,000028,副总经理,202.5万,-,监事会
5352,000028,独立董事,8.46万,-,董事会
25578,000028,独立董事,-,-,董事会
9585,000028,副总经理,180万,-,监事会
36915,000028,董事,-,-,董事会
50495,000028,总法律顾问,135万,-,监事会
50689,000028,职工监事,62.9万,-,监事会
3033,000028,独立董事,12万,-,董事会
21362,000028,"董事会秘书,副总经理",135万,2651,监事会
41598,000028,独立董事,8.46万,-,董事会
19668,000028,"副董事长,董事",37.5万,-,董事会
53563,000028,财务总监,157.5万,-,监事会
31654,000030,监事会主席,-,-,监事会
54169,000030,董事,-,-,董事会
35275,000030,副总经理,40万,14万,监事会
53859,000030,董事,-,-,董事会
38396,000030,职工监事,-,-,监事会
34960,000030,"董事长,董事",-,-,董事会
32693,000030,"副董事长,董事",-,-,董事会
37703,000030,副总经理,40万,19.6万,监事会
11469,000030,独立董事,-,-,董事会
43765,000030,董事,-,-,董事会
37981,000030,"董事会秘书,副总经理",68万,94.08万,监事会
145,000030,董事,80万,140.3万,董事会
27721,000030,副总经理,68万,112.3万,监事会
25102,000030,财务总监,68万,-,监事会
48163,000030,监事,-,-,监事会
1016,000030,独立董事,4万,-,董事会
34701,000030,独立董事,4万,-,董事会
5689,000031,监事会主席,111万,-,监事会
12520,000031,独立董事,3.75万,-,董事会
32217,000031,副总经理,136.1万,-,监事会
26705,000031,监事,-,200,监事会
14974,000031,"董事长,董事",-,-,董事会
7198,000031,副总经理,-,-,监事会
44994,000031,董事,-,-,董事会
45640,000031,"董事会秘书,副总经理",152.2万,-,监事会
22851,000031,董事,239.9万,1.152万,董事会
10253,000031,董事,176.2万,-,董事会
7405,000031,职工监事,90.71万,-,监事会
35001,000031,独立董事,15万,-,董事会
20145,000031,独立董事,3.75万,-,董事会
35670,000031,"财务总监,总会计师",-,-,监事会
21184,000031,董事,-,-,董事会
2170,000032,总工程师,78.09万,115万,监事会
3376,000032,职工监事,53.76万,-,监事会
39106,000032,董事,-,165,董事会
19912,000032,职工监事,41.59万,-,监事会
24316,000032,"董事长,董事",-,-,董事会
43675,000032,独立董事,8万,-,董事会
12836,000032,董事,81.84万,-,董事会
48556,000032,董事,-,-,董事会
41264,000032,"副董事长,董事",-,-,董事会
26795,000032,独立董事,8万,-,董事会
50666,000032,独立董事,8万,-,董事会
33697,000032,监事,-,-,监事会
11374,000032,监事会主席,-,-,监事会
28519,000032,财务总监,80.78万,-,监事会
5511,000032,监事,-,-,监事会
23866,000032,董事会秘书,50.98万,-,监事会
231,000032,名誉董事长,-,-,董事会
25389,000032,"副董事长,董事",-,-,董事会
32664,000034,独立董事,-,-,董事会
17947,000034,董事会秘书,-,-,监事会
11700,000034,职工监事,29.04万,-,监事会
25170,000034,副总裁,-,-,监事会
17841,000034,副总裁,238.3万,323万,监事会
25608,000034,副总裁,126.3万,-,监事会
32297,000034,副总裁,-,-,监事会
35450,000034,副总裁,153.7万,323万,监事会
33188,000034,监事,54万,-,监事会
36818,000034,独立董事,9.6万,-,董事会
34036,000034,监事会主席,98.56万,-,监事会
53238,000034,独立董事,9.6万,-,董事会
10862,000034,独立董事,9.6万,-,董事会
17387,000034,董事,-,6460万,董事会
43960,000034,董事,-,-,董事会
352,000034,董事,185.5万,-,董事会
29221,000034,"董事长,董事",651.2万,1.548亿,董事会
32358,000034,副总裁,193万,10.71万,监事会
13678,000035,监事,25万,-,监事会
9387,000035,"董事长,董事",20万,9390万,董事会
41564,000035,独立董事,12万,-,董事会
11991,000035,监事会主席,25万,8000,监事会
31485,000035,财务总监,25万,-,高管
30002,000035,副总裁,25万,-,监事会
52463,000035,董事,36万,-,董事会
21337,000035,独立董事,12万,-,董事会
48632,000035,"董事会秘书,副总裁",25万,-,监事会
37878,000035,董事,25万,-,董事会
18685,000035,董事,-,-,董事会
44266,000035,独立董事,12万,-,董事会
11102,000035,副总裁,25万,-,高管
51841,000035,副总裁,25万,-,监事会
16380,000035,职工监事,20万,-,监事会
46073,000035,副总裁,25万,-,监事会
13850,000035,副总裁,25万,-,监事会
42084,000035,副总裁,25万,-,高管
27842,000036,"董事长,董事",10万,103.9万,董事会
36150,000036,"副董事长,董事",8万,56.3万,董事会
3963,000036,独立董事,-,-,董事会
50445,000036,"董事会秘书,副总经理",40万,50.66万,监事会
5278,000036,监事,-,-,监事会
32180,000036,监事会主席,8万,51.95万,监事会
34951,000036,"副董事长,董事",75万,99.98万,董事会
23550,000036,独立董事,-,-,董事会
39092,000036,董事,42万,61.01万,董事会
40949,000036,副总经理,32万,50.38万,监事会
20483,000036,独立董事,-,-,董事会
19456,000036,职工监事,51万,56.75万,监事会
48783,000037,监事会主席,66.5万,-,监事会
30552,000037,董事,67万,-,董事会
35089,000037,监事,-,-,监事会
16071,000037,"董事会秘书,副总经理",64.5万,1732,监事会
11156,000037,职工监事,32.49万,1527,监事会
34286,000037,财务总监,64.5万,-,监事会
16098,000037,监事,-,-,监事会
16958,000037,董事,-,-,董事会
33926,000037,"董事长,董事",79.5万,-,董事会
14069,000037,"副董事长,董事",-,-,董事会
11886,000037,独立董事,-,-,董事会
36038,000037,职工监事,32.7万,-,监事会
47326,000037,总工程师,64.6万,-,监事会
36516,000037,独立董事,11.9万,-,董事会
25064,000037,独立董事,11.9万,-,董事会
48192,000037,董事,71.5万,-,董事会
14101,000037,董事,-,-,董事会
40519,000038,董事,38.26万,227.2万,董事会
2845,000038,"董事长,董事",-,-,董事会
7017,000038,财务总监,-,-,监事会
51696,000038,董事,-,-,董事会
53850,000038,独立董事,1.16万,-,董事会
