股票代码,主营业务
000596,白酒的生产与销售、包装材料的生产与销售、农副产品的加工与生产、酒店餐饮等
000597,生产和销售化学原料药品及制剂药品、经营医药产品批发及零售、生物制剂的生产与销售
000599,轮胎、机械等产品的生产及销售。
000598,自来水供应、污水处理及垃圾渗滤液处理。
000600,投资、建设、运营管理以电力生产为主的能源项目
000601,电力生产与销售
000603,有色金属矿采选
000603,铅精粉（含银）、锌精粉的生产和销售
000605,原水和自来水开发供应、管道输水运输、供水设施管理、维护和保养、水务基础设施投资建设及运营管理。
000606,互联网服务业务
000607,经营广告、报刊发行、印刷及新媒体业务、新增教育培训
000608,房地产开发与销售
000608,投资性房地产出租与资产管理输出服务
000609,股权投资和资产投资
000610,酒店经营管理、餐饮服务、旅行社、商业地产开发租赁、企业管理咨询、物业管理服务和劳务输出等。
000611,纺织品加工、销售
000611,高硅硅锰铁合金等新材料贸易
000613,旅游服务业中的住宿和餐饮
000612,铝冶炼及加工
000616,以商品住宅及商铺的开发和销售为主；物业管理与经营服务等。
000615,房地产业务和粘胶纤维业务
000619,主要生产销售塑料型材、门窗等节能建筑材料。
000617,以自有资金对外投资、投资管理；投资咨询服务
000617,企业策划；企业投资服务
000620,房地产开发、经营与建筑装修
000622,汽车空调设备的制造、销售、安装、维修、加工、销售机械设备、公路运输设备及承接各类空调设备的性能测试。
000625,制造和销售汽车(含轿车)、制造汽车发动机系列产品
000623,制药业为主导产业
000623,集养殖、种植、房地产开发、商业、机械修理、仓储、饮食服务业、运输等多业经营
000626,进出口贸易业务
000627,从事化工和医药原料药的生产和销售
000629,铁矿石采选、钛精矿提纯、钒钛制品生产和加工、钒钛延伸产品的研发和应用
000628,建筑业、房地产、厨柜制造、期货经纪等业务
000631,房地产领域开发与运营
000630,铜、铁、硫金矿采选
000630,铜、金、银、稀有贵金属冶炼及压延加工
000630,硫酸、电子产品生产、铜加工产品等。
000632,房地产开发与经营、进出口贸易。
000633,镍基合金材料的制造和销售
000635,电石及其系列延伸产品的生产和销售；聚氯乙烯、烧碱及其系列延伸产品的生产和销售；特种树脂生产及销售；电力、热力的生产及销售。
000637,石油化工产品的生产及销售
000636,系列新型片式元器件、光机电一体化电子专用设备及电子材料等电子信息基础产品的研制、生产和销售。
000638,与城镇化建设有关的土地一级整理、回迁安置房建设、辅以贸易等业务
000650,生产、销售中西药及健康相关产品
000650,包括胶囊剂、颗粒剂、片剂、栓剂、软膏剂、搽剂等药品以及健康相关产品。
000639,健康食用油及运动营养和体重管理
000652,生态环保、区域开发、能源贸易、股权投资
000651,生产销售空调器、自营空调器出口业务及其相关零配件的进出口业务
000656,房地产开发为主
000656,新能源发电、社区综合服务、酒店经营管理、园林、门窗、装饰等相关多元化产业经营为辅
000655,铁矿石开采
000655,铁精粉、铜精粉、钴精粉、球团矿的生产、销售及机械加工与销售。
000657,硬质合金生产及加工销售
000659,"从事碳酸饮料、热灌装饮料、饮用水和啤酒包装用PET瓶、PET瓶胚、标签、外包装薄膜、胶罐、纸杯的生产与销售,并同时为企业提供饮用水、热灌装饮料代加工灌装服务。"
000661,"以生物制药、中成药生产及销售、房地产开发为主导产业,辅以开发区基础设施建设、物业管理等。"
000662,软件产品销售、系统集成建设与运营服务
000665,有线电视网络运营
000663,木(竹)材采运、加工
000663,林产化工产品制造。
000666,生产与销售纺织机械业务及金融信托业务
000668,房地产开发与销售、物业出租
000667,房地产开发、装配式建筑、现代农业等相关业务
000669,天然气长输管道及城市燃气管网的建设和运营
000670,面向移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售
000670,并提供硬件设计和软件应用的整体解决方案。
000672,水泥产品生产与销售
000672,建材产品
000671,房地产开发、商品贸易。
000676,互联网相关业务
000673,影视文化业
000678,从事轴承及其零部件的生产、科研、销售及相关业务
000677,粘胶纤维及帘帆布的生产与销售
000679,以零售业、酒店业、房地产业为主
000679,其它策略性投资为补充
000680,工程机械制造
000681,提供优质正版图片、视频等视觉内容及增值服务
000682,电子及通信设备开发、生产、销售及咨询服务。
000683,甲醇、煤炭的生产与销售。
000686,证券经纪业务、证券承销与保荐业务、证券自营业务和证券资产管理业务等
000685,生产供应自来水、污水处理和农贸农批市场经营、物业开发
000687,军事通信及配套业务
000688,有色金属采、选及贸易
000690,电力、建筑施工、投资等
000691,房地产开发与销售
000692,民用和工业用供热和供汽
000695,蒸汽、电力的生产、供应和印刷业务
000697,制造加工各种航空器相关精密零部件、结构件等
000698,氯碱化工产品的生产和销售、石油化工产品的生产和销售、聚醚化工产品的生产和销售以及槽车运输租赁业务等。
000700,轿车保险杠及防擦条等汽车装饰件的生产和销售、铸件的生产和销售、房地产开发和销售以及医院管理及健康咨询服务
000702,研发生产销售饲料产品
000703,对石化行业的投资；有色金属、建筑材料和机电产品及配件；货运代理；经营本企业及本企业成员单位资产产品和生产、科研所需的原材料、机械设备、仪器仪表、零配件及相关进出口业务。
000705,生产经营中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素、生化药品、麻醉药品、精神药品、医疗器械、化学试剂等。
000707,联碱产品的生产与销售。
000708,钢铁冶炼、钢材轧制、金属改制、压延加工、钢铁材料检测。
000710,以测序为基础的基因检测服务与设备试剂销售
000709,黑色金属的冶炼和加工
000712,证券业务
000711,包括智慧生态运营服务、清洁能源服务综合在内的生态环保业务
000715,国内一般商业贸易、汽车修理、汽车配件、仓储搬运、进出口贸易、停车服务、商住写字间、场地租赁、商业企业投资控股
000713,种子和农化产业
000713,此外还有香料产业和酒店服务业
000716,从事大健康食品生产经营
000717,黑色金属冶炼加工
000717,金属制品、焦炭及煤化工产品的生产、销售等
000718,房地产开发
000719,"从事中小学教材、教辅的编制、印刷及发行业务,服务于河南省内的中小学在校学生。"
000720,产业园开发运营业务、电线电缆业务
000721,传统餐饮服务和工业化食品的生产、加工及销售
000722,水力发电综合开发经营以及医疗、养老业务的投资、建设及运营管理
000723,焦化厂、煤矿、煤层气的开发、投资
000723,批发零售煤炭、金属材料、建材、日用杂平、劳保用品
000723,煤炭、焦炭、煤矸石、金属镁、铁矿粉、生铁的加工与销售。
000725,显示器件业务、智慧系统产品业务、智慧健康服务业务
000727,电子产品、平板显示器件及模块、石英晶体产品、电子线路产品、真空电子、照明器材及材料的生产、加工、销售、技术服务等
000726,生产销售中、高档衬衫用色织布面料、印染面料、成衣等产品。
000728,证券的代理买卖;证券自营买卖;证券承销;证券投资咨询;客户资产管理等
000729,生产和销售啤酒
000732,房地产
000733,一是以移动通信终端、电子电话机、通信天线等为主的专用整机板块；二是以片式电阻、电容、电感、半导体二三极管、集成电路等为主的高新电子板块；三是以高压真空灭弧室、手机／动力电池、电子材料等为主的集成电路与关键元器件板块；四是以进出口贸易、信息化服务等为主的现代电子商贸与园区服务板块。
000731,化学肥料、合成氨、尿素、三聚氰胺、塑料包装袋及PVC管材管件等制造、销售
000735,"畜牧养殖、农副水产品加工、饲料加工、种植,代收代缴水电费用"
000736,房地产开发
000737,生产销售工业无机盐系列产品、日用化工系列产品、医药产品、化肥系列产品
000738,航空、航天发动机控制系统产品的研制、生产、销售、修理；汽车零部件、摩托车零部件生产、销售
000750,证券经纪、投资银行、证券自营、资产管理
000739,原料药、制剂的研发、生产、销售业务
000752,生产、销售啤酒、饮料
000751,锌、铅、硫酸及综合利用产品的生产
000753,城市基础设施建设
000753,涵盖水务、贸易和地产等业务体系。
000755,高速公路管理与运营
000757,从事汽车发动机曲轴的研发、制造与销售
000756,开发、制造和销售化学原料药、制剂及化工产品
000758,有色金属采选与冶炼、国际工程承包、装备制造和贸易。
000759,商业零售
000760,汽车零部件制造与销售
000761,钢板、钢坯和其他副产品的生产和销售
000762,铬铁矿、锂矿、铜矿、硼矿的开采、加工及销售和贸易业务。
000766,从事栓剂、片剂、硬胶囊剂、颗粒剂、丸剂(浓缩丸、糊丸)、粉针剂、冻干粉针剂、小容量注射剂生产、合剂、糖浆剂、口服溶液剂生产与销售。
000767,电力生产和销售
000776,证券经纪;证券投资咨询;与证券交易、证券投资活动有关的财务顾问。
000768,"军民用大中型飞机整机及航空零部件等航空产品的研发、生产和销售,此外公司亦从事运输设备工业、建材工业相关产品及其他产品的生产和销售。"
000778,离心球墨铸铁管及配套管件、铸造制品、钢塑复合管、钢格板、特种钢管、钢铁冶炼及压延加工等。
000777,工业阀门的研发、设计、制造及销售
000780,煤炭生产、洗选加工、销售
000779,毛纺业务和工程咨询业务
000782,锦纶6切片、纺丝、织造、染整、服装加工
000783,证券代理买卖、证券自营、证券承销、受托资产管理等证券类业务。
000786,为各类建筑和家庭客户提供石膏板墙体吊顶系统、矿棉板吊顶吸声系统、金邦板外墙屋面系统、内外墙环保涂料系统、岩棉防火保温系统、节能门窗系统、高效智能采暖系统、静音建筑管道系统等节能环保新型建材全套解决方案
000785,从事零售业务
000785,业态主要包含现代百货、购物中心以及超市和家居卖场业务、家居建材超市业务和家装业务。
000788,研制开发、生产销售医药原料药及制剂产品
000789,硅酸盐水泥熟料及硅酸盐水泥的生产和销售
000790,中西成药、生物制药的生产与销售及钢结构房屋建筑设计与施工
000791,电力产品的生产和销售。
000793,传媒业务和城市燃气相关业务的经营
000792,氯化钾的开发、生产和销售；盐湖资源综合开发利用；其他业务
000792,包括水泥生产、商贸连锁业务以及酒店业务。
000795,稀土永磁材料与制品、电机系列、物流与消防智能装备。
000796,从事航食、铁路配餐和出境游业务
000797,投资开发、工程承包、外经外贸
000798,远洋水产品的捕捞、储运、销售和进出口以及紫菜、海带等产品的加工及销售等。
000799,从事生产、销售曲酒系列产品。
000800,轿车整车及配件的生产与销售
000801,数字终端产品、宽带网络系统设备、光器件及LNB等产品的研发、生产和全球销售。
000806,电力自动化及电气设备、电子元器件、软件开发和系统集成等
