股票代码,申万一级行业
002233,建筑材料
002234,农林牧渔
002235,传媒
002236,电子
002237,有色金属
002238,传媒
002239,汽车
002240,轻工制造
002241,电子
002242,家用电器
002243,轻工制造
002244,房地产
002245,交通运输
002246,化工
002247,传媒
002248,机械设备
002249,电气设备
002250,化工
002251,商业贸易
002252,医药生物
002253,计算机
002255,电气设备
002256,公用事业
002258,化工
002259,公用事业
002261,传媒
002262,医药生物
002263,化工
002264,商业贸易
002265,汽车
002266,电气设备
002267,公用事业
002268,计算机
002269,纺织服装
002270,电气设备
002271,建筑材料
002272,机械设备
002273,电子
002274,化工
002275,医药生物
002276,电气设备
002277,商业贸易
002278,机械设备
002279,计算机
002280,计算机
002281,通信
002282,机械设备
002283,汽车
002284,汽车
002286,农林牧渔
002287,医药生物
002288,电子
002289,电子
002290,家用电器
002291,纺织服装
002292,传媒
002293,纺织服装
002294,医药生物
002295,有色金属
002296,计算机
002297,国防军工
002298,计算机
002299,农林牧渔
002300,电气设备
002301,轻工制造
002302,建筑材料
002303,轻工制造
002304,食品饮料
002305,房地产
002306,休闲服务
002307,建筑装饰
002308,计算机
002309,电气设备
002310,公用事业
002311,农林牧渔
002312,计算机
002313,通信
002314,房地产
002315,传媒
002316,计算机
002317,医药生物
002318,钢铁
002319,化工
002320,交通运输
002321,农林牧渔
002322,计算机
002324,化工
002325,建筑装饰
002326,化工
002327,纺织服装
002328,汽车
002329,食品饮料
002330,食品饮料
002331,计算机
002332,医药生物
002333,建筑材料
002334,电气设备
002335,电气设备
002336,商业贸易
002337,机械设备
002338,机械设备
002339,电气设备
002340,有色金属
002341,化工
002342,机械设备
002343,传媒
002344,商业贸易
002345,轻工制造
002346,电气设备
002347,机械设备
002348,计算机
002349,医药生物
002350,电气设备
002351,电子
002352,交通运输
002353,机械设备
002354,传媒
002355,汽车
002356,轻工制造
002357,交通运输
002358,电气设备
002359,通信
002360,化工
002361,化工
002362,计算机
002363,汽车
002364,电气设备
002365,医药生物
002366,机械设备
002367,机械设备
002368,计算机
002369,电子
002370,医药生物
002371,电子
002372,建筑材料
002373,计算机
002374,建筑装饰
002375,建筑装饰
002376,计算机
002377,房地产
002378,有色金属
002379,有色金属
002380,电气设备
002381,化工
002382,医药生物
002383,计算机
002384,电子
002385,农林牧渔
002386,化工
002387,电子
002388,电子
002389,国防军工
002390,医药生物
002391,化工
002392,建筑材料
002393,医药生物
002394,纺织服装
002395,化工
002396,通信
002397,纺织服装
002398,建筑材料
002399,医药生物
002400,传媒
002401,计算机
002402,电子
002403,家用电器
002404,纺织服装
002405,计算机
002406,汽车
002407,化工
002408,化工
002409,化工
002410,计算机
002411,医药生物
002412,医药生物
