股票代码,申万二级行业
002251,一般零售
002252,生物制品Ⅱ
002253,计算机应用
002255,电源设备
002256,电力
002258,化学制品
002259,燃气Ⅱ
002261,文化传媒
002262,化学制药
002263,塑料Ⅱ
002264,一般零售
002265,汽车零部件
002266,电源设备
002267,燃气Ⅱ
002268,计算机设备
002269,服装家纺
002270,高低压设备
002271,其他建材
002272,通用机械
002273,光学光电子
002274,化学制品
002275,中药Ⅱ
002276,高低压设备
002277,一般零售
002278,专用设备
002279,计算机应用
002280,计算机应用
002281,通信设备
002282,通用机械
002283,汽车零部件
002284,汽车零部件
002286,农产品加工
002287,中药Ⅱ
002288,元件Ⅱ
002289,光学光电子
002290,白色家电
002291,服装家纺
002292,文化传媒
002293,服装家纺
002294,化学制药
002295,工业金属
002296,计算机设备
002297,航空装备
002298,计算机应用
002299,畜禽养殖
002300,高低压设备
002301,家用轻工
002302,其他建材
002303,包装印刷Ⅱ
002304,饮料制造
002305,房地产开发Ⅱ
002306,餐饮Ⅱ
002307,基础建设
002308,计算机设备
002309,电源设备
002310,环保工程及服务
002311,饲料Ⅱ
002312,计算机应用
002313,通信设备
002314,房地产开发Ⅱ
002315,互联网传媒
002316,计算机应用
002317,中药Ⅱ
002318,钢铁
002319,化学制品
002320,航运Ⅱ
002321,畜禽养殖
002322,计算机应用
002324,塑料Ⅱ
002325,装修装饰
002326,化学制品
002327,服装家纺
002328,汽车零部件
002329,食品加工
002330,食品加工
002331,计算机应用
002332,化学制药
002333,其他建材
002334,电气自动化设备
002335,电源设备
002336,一般零售
002337,专用设备
002338,仪器仪表
002339,电气自动化设备
002340,金属非金属新材料
002341,化学制品
002342,金属制品
002343,文化传媒
002344,商业物业经营
002345,家用轻工
002346,高低压设备
002347,通用机械
002348,计算机应用
002349,中药Ⅱ
002350,高低压设备
002351,电子制造
002352,物流Ⅱ
002353,专用设备
002354,互联网传媒
002355,汽车零部件
002356,家用轻工
002357,公交Ⅱ
002358,高低压设备
002359,通信设备
002360,化学制品
002361,化学制品
002362,计算机应用
002363,汽车零部件
002364,电源设备
002365,化学制药
002366,专用设备
002367,专用设备
002368,计算机应用
002369,电子制造
002370,化学制药
002371,半导体
002372,其他建材
002373,计算机应用
002374,园林工程
002375,装修装饰
002376,计算机设备
002377,房地产开发Ⅱ
002378,稀有金属
002379,工业金属
002380,电气自动化设备
002381,橡胶
002382,医疗器械Ⅱ
002383,计算机设备
002384,元件Ⅱ
002385,饲料Ⅱ
002386,化学原料
002387,光学光电子
002388,其他电子
002389,航空装备
002390,中药Ⅱ
002391,化学制品
002392,其他建材
002393,化学制药
002394,纺织制造
002395,塑料Ⅱ
002396,通信设备
002397,服装家纺
002398,其他建材
002399,化学制药
002400,营销传播
002401,计算机应用
002402,电子制造
002403,白色家电
002404,纺织制造
002405,计算机应用
002406,汽车零部件
002407,化学制品
002408,化学制品
002409,化学制品
002410,计算机应用
002411,化学制药
002412,中药Ⅱ
002413,航空装备
002414,其他电子
002415,电子制造
002416,专业零售
002417,计算机应用
002418,白色家电
002419,一般零售
002420,视听器材
002421,计算机应用
002422,化学制药
002423,多元金融
002424,中药Ⅱ
002425,互联网传媒
002426,通用机械
002427,化学纤维
002428,稀有金属
002429,视听器材
002430,专用设备
002431,园林工程
002432,医疗器械Ⅱ
002433,中药Ⅱ
002434,汽车零部件
002435,化学制药
002436,元件Ⅱ
002437,化学制药
002438,通用机械
002439,计算机应用
002440,化学制品
002441,高低压设备
002442,橡胶
002443,钢铁
002444,通用机械
002445,文化传媒
002446,通信设备
002447,互联网传媒
002448,汽车零部件
002449,光学光电子
002451,高低压设备
002452,高低压设备
002453,计算机应用
002454,汽车零部件
002455,化学制品
002456,光学光电子
002457,其他建材
002458,畜禽养殖
002459,专用设备
002460,稀有金属
002461,饮料制造
002462,医药商业Ⅱ
002463,元件Ⅱ
002464,互联网传媒
002465,地面兵装
002466,稀有金属
002467,通信运营
002468,物流Ⅱ
002469,专业工程
002470,化学制品
002471,高低压设备
002472,汽车零部件
002473,白色家电
002474,计算机应用
002475,电子制造
002476,化学制品
002478,钢铁
002479,环保工程及服务
002480,通用机械
002481,食品加工
002482,装修装饰
002483,专用设备
002484,元件Ⅱ
002486,服装家纺
002487,金属制品
002488,汽车零部件
002489,家用轻工
002490,专用设备
002491,通信设备
002492,物流Ⅱ
002493,化学纤维
002494,服装家纺
002495,食品加工
002496,化学制品
002497,化学制品
002498,高低压设备
002499,电源设备
002500,证券
002501,工业金属
002502,互联网传媒
002503,服装家纺
002504,装修装饰
002505,贸易Ⅱ
002506,电源设备
002507,食品加工
002508,白色家电
002509,园林工程
002510,汽车零部件
002511,造纸Ⅱ
002512,计算机设备
002513,化学制品
002514,通用机械
002515,食品加工
002516,纺织制造
002517,互联网传媒
002518,电源设备
002519,视听器材
002520,通用机械
002521,造纸Ⅱ
002522,包装印刷Ⅱ
002523,专用设备
002524,医疗服务Ⅱ
002526,专用设备
002527,电气自动化设备
002528,计算机设备
002529,专用设备
002530,计算机应用
002531,电源设备
002532,通用机械
002533,高低压设备
002534,电源设备
002535,专用设备
002536,汽车零部件
002537,计算机应用
002538,化学制品
002539,化学制品
002540,工业金属
002541,专业工程
002542,专业工程
002543,白色家电
002544,通信设备
002545,化学制品
002546,电气自动化设备
002547,电子制造
002548,饲料Ⅱ
002549,化学制品
002550,化学制药
002551,医疗器械Ⅱ
002552,通用机械
002553,汽车零部件
002554,采掘服务
002555,互联网传媒
002556,化学制品
002557,食品加工
002558,互联网传媒
002559,通用机械
002560,高低压设备
002561,一般零售
002562,化学制药
002563,服装家纺
002564,基础建设
002565,包装印刷Ⅱ
002566,中药Ⅱ
002567,饲料Ⅱ
002568,饮料制造
002569,服装家纺
002570,食品加工
002571,家用轻工
002572,家用轻工
002573,环保工程及服务
002574,家用轻工
002575,家用轻工
002576,电机
002577,计算机设备
002578,工业金属
002579,元件Ⅱ
002580,电源设备
002581,生物制品Ⅱ
002582,食品加工
002583,通信设备
002584,化学制品
002585,包装印刷Ⅱ
002586,基础建设
002587,光学光电子
002588,化学制品
002589,医药商业Ⅱ
002590,汽车零部件
002591,营销传播
002592,汽车零部件
002593,专业工程
002594,汽车整车
002595,专用设备
002596,其他建材
002597,化学制品
002598,通用机械
002599,包装印刷Ⅱ
002600,电子制造
002601,化学制品
002602,互联网传媒
002603,中药Ⅱ
002605,家用轻工
002606,高低压设备
002607,文化传媒
002608,电力
002609,计算机应用
002610,电源设备
002611,汽车零部件
002612,服装家纺
002613,专用设备
002614,白色家电
002615,家用轻工
002616,环保工程及服务
002617,电源设备
002618,元件Ⅱ
002619,互联网传媒
002620,装修装饰
002621,文化传媒
002622,营销传播
002623,玻璃制造
002624,互联网传媒
002625,汽车零部件
002626,化学制药
002627,公交Ⅱ
002628,基础建设
002629,采掘服务
002630,电源设备
002631,家用轻工
002632,化学制品
002633,通用机械
002634,服装家纺
002635,电子制造
002636,元件Ⅱ
002637,化学制品
002638,文化传媒
002639,通用机械
002640,一般零售
002641,其他建材
002642,计算机应用
002643,化学制品
002644,中药Ⅱ
002645,专用设备
002646,饮料制造
002647,多元金融
002648,化学原料
002649,计算机应用
002650,食品加工
002651,专用设备
002652,其他建材
002653,化学制药
002654,营销传播
002655,电子制造
002656,服装家纺
002657,计算机应用
002658,环保工程及服务
002659,文化传媒
002660,电子制造
002661,食品加工
002662,汽车零部件
002663,园林工程
002664,汽车零部件
002665,电源设备
002666,化学制品
002667,专用设备
002668,白色家电
002669,化学制品
002670,证券
002671,其他建材
002672,环保工程及服务
002673,证券
002674,纺织制造
002675,化学制药
002676,白色家电
002677,白色家电
002678,家用轻工
002679,林业Ⅱ
002681,电子制造
002682,物流Ⅱ
002683,化学制品
002684,其他电子
002685,通用机械
002686,通用机械
002687,服装家纺
002688,动物保健
002689,专用设备
002690,专用设备
002691,专用设备
002692,高低压设备
002693,生物制品Ⅱ
002694,其他建材
002695,食品加工
002696,饲料Ⅱ
002697,一般零售
002698,专用设备
002699,文化传媒
002700,燃气Ⅱ
002701,包装印刷Ⅱ
002702,食品加工
002703,汽车零部件
002705,白色家电
002706,高低压设备
002707,旅游综合Ⅱ
002708,汽车零部件
002709,化学制品
002711,物流Ⅱ
002712,营销传播
002713,装修装饰
002714,畜禽养殖
002715,汽车零部件
002716,稀有金属
002717,环保工程及服务
002718,其他建材
002719,食品加工
002721,家用轻工
002722,专用设备
002723,白色家电
002725,汽车零部件
002726,食品加工
002727,医药商业Ⅱ
002728,中药Ⅱ
002729,其他电子
002730,专用设备
002731,家用轻工
002732,食品加工
002733,电源设备
002734,化学制品
002735,包装印刷Ⅱ
002736,证券
002737,中药Ⅱ
002738,采掘服务
002739,文化传媒
002740,家用轻工
002741,化学制品
002742,其他建材
002743,专业工程
