股票代码,经营范围
000065,各类型工业
000065,能源
000065,交通
000065,民用工程建设项目的施工总承包；承包境外工程及境内国际招标工程；上述境外工程所需的设备
000065,材料出口；对外派遣实施上述境外工程所需的劳务人员；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；铝型材
000065,铝门窗
000065,铝制品
000065,建筑幕墙和室内外装饰工程设计
000065,制作
000065,施工
000065,机械安装及修理。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
000063,生产程控交换系统
000063,多媒体通讯系统
000063,通讯传输系统；研制
000063,生产移动通信系统设备
000063,卫星通讯
000063,微波通讯设备
000063,寻呼机，计算机软硬件
000063,闭路电视
000063,微波通信
000063,信号自动控制
000063,计算机信息处理
000063,过程监控系统
000063,防灾报警系统等项目的技术设计
000063,开发
000063,咨询
000063,服务，铁路
000063,地下铁路
000063,城市轨道交通
000063,公路
000063,厂矿
000063,港口码头
000063,机场的有线无线通信等项目的技术设计
000063,开发
000063,咨询
000063,服务（不含限制项目）；电子设备
000063,微电子器件的购销（不含专营
000063,专控
000063,专卖商品）；承包境外通讯及相关工程和境内国际招标工程，上述境外工程所需的设备
000063,材料进出口
000063,对外派遣，实施上述境外工程的劳务人员；电子系统设备的技术开发和购销（不含限制项目及专营
000063,专控
000063,专卖商品）；经营进出口业务（按贸发局核发的资格证执行）；电信工程专业承包（待取得资质证书后方可经营）；自有房屋租赁。新能源发电及应用系统的技术设计
000063,开发
000063,咨询
000063,服务。
000068,受托资产管理
000068,投资咨询
000068,企业管理咨询
000068,经济信息咨询（不含限制项目）；市场营销策划；投资兴办实业（具体项目另行申报）；国内贸易（不含专营
000068,专卖
000068,专控商品）；货物及技术进出口业务（不涉及国营贸易管理商品，涉及配额
000068,许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）。
000066,计算机软件
000066,硬件
000066,终端及其外部设备
000066,网络系统及系统集成
000066,电子产品及零部件
000066,金融机具
000066,税控机具
000066,计量仪表
000066,安防产品
000066,移动通讯设备
000066,无线电话机（手机）
000066,通信及网络产品
000066,数字音视频产品的技术开发
000066,生产
000066,加工
000066,销售及售后服务，并提供相关的技术和咨询服务；经营自行开发的电子出版物
