机构名称,类型
上海大东海建筑工程有限公司,一般法人
武汉长江光电有限公司,一般法人
江苏省农垦集团有限公司,一般法人
沈阳中一集团有限公司,一般法人
澳门华山创业国际经济技术合作与贸易有限公司,一般法人
陕西华山创业有限公司,一般法人
陕西燃气集团有限公司,一般法人
陕西秦龙电力股份有限公司,一般法人
东海基金-浦发银行-云南国际信托-云南信托锦瑟年华3号集合资金信托计划,一般法人
中国电子科技网络信息安全有限公司,一般法人
上海华服投资有限公司,一般法人
上海华明电力设备集团有限公司,一般法人
上海双创阖银企业管理中心(有限合伙),一般法人
上海国投协力发展股权投资基金合伙企业(有限合伙),一般法人
北京国投协力股权投资基金(有限合伙),一般法人
国投创新(北京)投资基金有限公司,一般法人
广州汇垠鼎耀投资企业(有限合伙),一般法人
深圳安信乾能股权投资基金合伙企业(有限合伙),一般法人
交银施罗德优择回报灵活配置混合型证券投资基金A,基金
交银施罗德优选回报灵活配置混合型证券投资基金A,基金
交银施罗德定期支付双息平衡混合型证券投资基金,基金
鹏扬景升灵活配置混合型证券投资基金A,基金
华泰柏瑞基本面智选混合型证券投资基金A,基金
台州农银凤凰金桂投资合伙企业(有限合伙),一般法人
国泰招惠收益定期开放债券型证券投资基金,基金
星星集团有限公司,一般法人
浙江水晶光电科技股份有限公司-第四期员工持股计划,一般法人
西部利得祥盈债券型证券投资基金A,基金
中国国际金融股份有限公司转融通担保证券明细账户,一般法人
江苏华昌(集团)有限公司,一般法人
江苏瑞华投资管理有限公司,信托公司
深圳市前海银叶创富投资企业(有限合伙),一般法人
苏州华纳投资股份有限公司,一般法人
西藏瑞华资本管理有限公司,一般法人
桂林三金集团股份有限公司,一般法人
嘉实基金-邮储银行-建信资本管理有限责任公司,一般法人
浙江万马智能科技集团有限公司,一般法人
浙江广杰投资管理有限公司,一般法人
湖南友谊阿波罗商业股份有限公司-第一期员工持股计划,一般法人
湖南友谊阿波罗控股股份有限公司,一般法人
北京久其科技投资有限公司,一般法人
海通投融宝1号集合资产管理计划,券商集合理财
深圳尚道投资基金有限公司,信托公司
E.T.XUN(Hong Kong) Holding Limited,一般法人
深圳中植产投并购投资合伙企业(有限合伙),一般法人
中天金投有限公司,一般法人
全国社保基金105组合,社保基金
烽火科技集团有限公司,一般法人
中意资管-招商银行-中意资产-招商银行-定增精选69号资产管理产品,一般法人
天润联合集团有限公司,一般法人
中国汽车技术研究中心有限公司,一般法人
亚太机电集团有限公司,一般法人
宁波梅山保税港区智石资产管理有限公司,信托公司
北京永裕投资管理有限公司,一般法人
宁波趵朴富通资产管理中心(有限合伙),一般法人
甘肃奇正实业集团有限公司,一般法人
西藏宇妥文化发展有限公司,一般法人
中加紫金灵活配置混合型证券投资基金A,基金
天风天成资管-招商证券-天风天成科瑞集合资产管理计划,一般法人
常州京控泰丰投资中心(有限合伙),一般法人
浙江道至投资管理有限公司,信托公司
深圳市中科创资产管理有限公司,一般法人
LYONE GROUP PTE. LTD.,一般法人
新余创裕投资中心(有限合伙),一般法人
深圳市星期六投资控股有限公司,一般法人
金鹰基金-金鹰筠业琢石资产管理计划,一般法人
科威特政府投资局,QFII
红塔红土基金-中信证券-光大兴陇信托-光大信托·增利1号单一资金信托,一般法人
CA Fabric Investments,一般法人
伟佳国际企业有限公司,一般法人
余江县罗莱投资控股有限公司,一般法人
北京本杰明投资顾问有限公司,一般法人
博时乐臻定期开放混合型证券投资基金,基金
太平洋证券红珊瑚8号集合资产管理计划,券商集合理财
信立泰药业有限公司,一般法人
北京市中国人民大学教育基金会,一般法人
南山人寿保险股份有限公司,QFII
广东省华南理工大学教育发展基金会,一般法人
深圳信立泰药业股份有限公司-第一期员工持股计划,一般法人
深圳市润复投资发展有限公司,一般法人
北京宏远创佳控股有限公司,一般法人
南通三建控股有限公司,一般法人
广东贵裕宝投资有限公司,一般法人
苏州荣翔投资发展有限公司,一般法人
东营信邦实业有限公司,一般法人
中南大学粉末冶金工程研究中心有限公司,一般法人
湖南大博云投资合伙企业(有限合伙),一般法人
湖南湘投高科技创业投资有限公司,一般法人
上海理鼎投资管理中心(有限合伙),一般法人
云泽投资管理(天津)有限公司,信托公司
宁波中金国联通泰股权投资合伙企业(有限合伙),一般法人
广西铁路发展投资基金(有限合伙),一般法人
芜湖市鑫诚科技投资有限公司,一般法人
KKR Poultry Investment S.à r.l.,一般法人
光大保德信中小盘混合型证券投资基金,基金
光大保德信动态优选灵活配置混合型证券投资基金,基金
光大保德信均衡精选混合型证券投资基金,基金
深圳市凯丰投资管理有限公司,信托公司
福建圣农控股集团有限公司,一般法人
银华稳健增利灵活配置混合型发起式证券投资基金A,基金
南平实业集团有限公司,一般法人
厦门象屿集团有限公司,一般法人
福州太顺实业有限公司,一般法人
福建亿力集团有限公司,一般法人
莆田市荔城区财政局,一般法人
万向信托有限公司-万向信托-星辰38号事务管理类单一资金信托,一般法人
深圳市齐心控股有限公司,一般法人
中国建筑第三工程局有限公司,一般法人
中国建筑第五工程局有限公司,一般法人
中国建筑第四工程局有限公司,一般法人
中英益利资管-建设银行-中英益利金利2号资产管理产品,一般法人
新疆建工（集团）有限责任公司(废弃),一般法人
新疆电信实业(集团)有限责任公司,一般法人
红塔红土基金-浙商银行-渤海国际信托-美盈森平层投资单一资金信托,一般法人
上海捷强烟草糖酒(集团)有限公司,一般法人
上海海烟物流发展有限公司,一般法人
中证长三角一体化发展主题交易型开放式指数证券投资基金,基金
九泰锐丰灵活配置混合型证券投资基金(LOF)A,基金
兴元资产管理有限公司,QFII
江苏洋河集团有限公司,一般法人
江苏蓝色同盟股份有限公司,一般法人
东吴基金管理有限公司-东吴鼎利6020号资产管理计划,一般法人
东吴基金管理有限公司-渤海国际信托股份有限公司,一般法人
中国电建地产集团有限公司,一般法人
武汉新天地投资有限公司,一般法人
新疆生产建设兵团建设工程(集团)有限责任公司,一般法人
南京丰同投资中心(有限合伙),一般法人
南京华泰瑞联并购基金二号(有限合伙),一般法人
威创投资有限公司,一般法人
招商财富-招商银行-四川三新创业投资有限责任公司,一般法人
江苏苏豪投资集团有限公司,一般法人
科学城(广州)投资集团有限公司,一般法人
重庆和信汇智工业产业股权投资基金合伙企业(有限合伙),一般法人
中意资管-招商银行-中意资产-招商银行-兴铁资本定增精选67号资产管理产品,一般法人
华安未来资产-浙商银行-长安信托-长安信托-中利定增投资单一资金信托,一般法人
常熟市发展投资有限公司,一般法人
江苏中利能源控股有限公司,一般法人
江苏新扬子造船有限公司,一般法人
渤海国际信托股份有限公司-渤海信托-恒利丰228号集合资金信托计划,一般法人
长安国际信托股份有限公司-长安信托﹒晨星(中利集团)定增单一资金信托,一般法人
北京市盈润汇民基金管理中心(有限合伙),一般法人
北京朝汇鑫企业管理有限公司,一般法人
中银新动力股票型证券投资基金,基金
中银研究精选灵活配置混合型证券投资基金,基金
博时文体娱乐主题混合型证券投资基金,基金
国投瑞银行业先锋灵活配置混合型证券投资基金,基金
广州市海灏投资有限公司,一般法人
汇丰晋信2026生命周期证券投资基金,基金
汇丰晋信大盘波动精选股票型证券投资基金A,基金
汇添富盈安灵活配置混合型证券投资基金,基金
泰康安泰回报混合型证券投资基金,基金
上海润良泰物联网科技合伙企业(有限合伙),一般法人
北京京泰晟资产管理有限公司,信托公司
珠海润达泰投资合伙企业(有限合伙),一般法人
西藏信托有限公司-西藏信托-泓景12号集合资金信托计划,一般法人
西藏福茂投资管理有限公司,一般法人
China Logistics Holding(12) PTE.LTD.,一般法人
国泰君安证券(香港)有限公司,一般法人
招商证券(香港)有限公司,一般法人
申万宏源(香港)有限公司,一般法人
赤晓企业有限公司,一般法人
深圳精一投资管理有限公司,一般法人
键桥通讯技术有限公司,一般法人
中航信托股份有限公司-中航信托·天启【2017】491号众生药业员工持股集合资金信托计划,一般法人
招商和悦稳健养老目标一年持有期混合型基金中基金(FOF)A,基金
西藏信托有限公司-西藏信托-智臻19号集合资金信托计划,一般法人
久立集团股份有限公司,一般法人
浙江久立特材科技股份有限公司-第二期员工持股计划,一般法人
深圳市大晟资产管理有限公司,一般法人
中国海口外轮代理有限公司,一般法人
国金证券股份有限公司约定购回专用账户,一般法人
海南港航控股有限公司,一般法人
中铁宝盈资产-平安银行-河南华英农业发展股份有限公司,一般法人
北京中融鼎新投资管理有限公司,一般法人
河南农投金控股份有限公司,一般法人
河南省潢川华英禽业总公司,一般法人
深圳盛合汇富二期股权投资合伙企业(有限合伙),一般法人
宁波天一世纪投资有限责任公司,一般法人
上海翼鹏企业发展有限公司,一般法人
北京润达信合投资基金管理有限公司,信托公司
深圳市蓝熙资产管理有限公司,信托公司
新疆日月投资股份有限公司,一般法人
中国医化产业发展集团有限公司,一般法人
浙江永太控股有限公司,一般法人
上海宽远资产管理有限公司,信托公司
兴业国际信托有限公司,信托公司
喀斯喀特有限责任公司,QFII
深圳市富安娜家居用品股份有限公司-第1期员工持股计划,一般法人
嘉实润和量化6个月定期开放混合型证券投资基金,基金
嘉实润泽量化一年定期开放混合型证券投资基金,基金
山东桑莎制衣集团有限公司,一般法人
庞海控股有限公司,一般法人
诸城同路人投资有限公司,一般法人
南方银谷科技有限公司,一般法人
福建广聚信息技术服务有限公司,一般法人
西藏景源投资管理有限公司,一般法人
杭州九鸿投资合伙企业(有限合伙),一般法人
汇添富基金-仙琚制药定增盛世45号资产管理计划,一般法人
浙江省仙居县国有资产经营有限公司(弃用),一般法人
拉萨经济技术开发区晶浩信息咨询有限公司,一般法人
罗普斯金控股有限公司,一般法人
深圳巴士集团股份有限公司,一般法人
深圳市英威腾电气股份有限公司回购专用证券账户,一般法人
厦门科华伟业股份有限公司,一般法人
厦门象屿金融控股集团有限公司,一般法人
天津赛象创业投资有限责任公司,一般法人
中国科学院长春光学精密机械与物理研究所,一般法人
中国银行股份有限公司-嘉实成长增强灵活配置混合型证券投资基金,一般法人
兴证证券资管-兴证资管鑫众61号集合资产管理计划,一般法人
山东大学威海分校电子系统实验所,一般法人
赣州市熠石股权投资中心(有限合伙),一般法人
上海德溢慧心股权投资有限责任公司,信托公司
上海星鸿资产经营有限公司,信托公司
丰城市鑫源兴新材料有限公司,一般法人
国泰国证新能源汽车指数证券投资基金(LOF),基金
深圳中植产投环保投资合伙企业(有限合伙),一般法人
深圳市汇丰源投资有限公司,一般法人
上海健顺投资管理有限公司,信托公司
中信证券投资有限公司,一般法人
新疆宏盛开源股权投资合伙企业(有限合伙),一般法人
金石坤享股权投资(杭州)合伙企业(有限合伙),一般法人
巨力集团有限公司,一般法人
河北乐凯化工工程设计有限公司,一般法人
中山证券-招商银行-中山证券启晨1号集合资产管理计划,一般法人
工银瑞信战略转型主题股票型证券投资基金,基金
海宁中国皮革城股份有限公司-第一期员工持股计划,一般法人
海宁市市场开发服务中心,一般法人
海宁市资产经营公司,一般法人
东冠集团有限公司,一般法人
中意资管-招商银行-粤财信托-汇鸿创利1号结构化集合资金信托计划-定增精选26号,一般法人
广东新动能股权投资合伙企业(有限合伙),一般法人
广东潮宏基实业股份有限公司回购专用证券账户,一般法人
汇光国际有限公司,一般法人
汕头市潮鸿基投资有限公司,一般法人
上海康峰投资管理有限公司,一般法人
上海远图投资发展有限公司,一般法人
安徽欣泰投资股份有限公司,一般法人
安徽泰尔控股集团有限公司,一般法人
兴昌塑胶五金厂有限公司,一般法人
普宁市园林文化用品有限公司,一般法人
普宁市新鸿辉实业投资有限公司,一般法人
深圳市聚脉创新科技企业(有限合伙),一般法人
南通产业控股集团有限公司,一般法人
南通综艺投资有限公司,一般法人
江苏南通港闸经济开发区城市建设发展有限公司,一般法人
中国电力科学研究院有限公司,一般法人
北京万峰达电力电子有限责任公司,一般法人
北京天融博汇资本管理有限公司,信托公司
北京海国东兴支持优质科技企业发展投资管理中心(有限合伙),一般法人
北京科锐北方科技发展有限公司,一般法人
中融产业升级灵活配置混合型证券投资基金,基金
光大保德信铭鑫灵活配置混合型证券投资基金A,基金
嘉强顺风(深圳)股权投资合伙企业(有限合伙),一般法人
国寿安保目标策略灵活配置混合型发起式证券投资基金A,基金
宁波顺达丰润投资管理合伙企业(有限合伙),一般法人
景顺长城优选混合型证券投资基金,基金
景顺长城低碳科技主题灵活配置混合型证券投资基金,基金
景顺长城环保优势股票型证券投资基金,基金
景顺长城资源垄断混合型证券投资基金(LOF),基金
深圳市招广投资有限公司,一般法人
苏州古玉秋创股权投资合伙企业(有限合伙),一般法人
苏州工业园区元禾顺风股权投资企业(有限合伙),一般法人
长信创新驱动股票型证券投资基金,基金
长安国际信托股份有限公司-长安信托-民生定增1号单一资金信托,一般法人
国寿安保稳嘉混合型证券投资基金A,基金
富国天源沪港深平衡混合型证券投资基金,基金
富国臻选成长灵活配置混合型证券投资基金,基金
德邦量化新锐股票型证券投资基金(LOF)A,基金
鹏华中证A股资源产业指数分级证券投资基金,基金
上海诚自投资中心(有限合伙),一般法人
上海集观投资中心(有限合伙),一般法人
为新有限公司,一般法人
北京光线影业有限公司,一般法人
北京华晔宝春投资管理中心(有限合伙),一般法人
渤海国际信托股份有限公司,信托公司
万家基金-兴业银行-万家基金瀛海资产管理计划,一般法人
四川盛邦创恒企业管理有限责任公司,一般法人
国融基金-国泰君安证券-国融天鑫1号资产管理计划,一般法人
威海纺织集团进出口有限责任公司,一般法人
宝盈基金-工商银行-宝盈金增6号特定客户资产管理计划,一般法人
海富通基金-国泰君安证券-海富通东兴兴民1号资产管理计划,一般法人
财通基金-招商银行-财通基金-玉泉833号资产管理计划,一般法人
北京天鸿伟业科技发展有限公司,一般法人
北京广袤投资有限公司,一般法人
吴江金科扬子置业发展有限公司,一般法人
汉桥机器厂有限公司,一般法人
永锋集团有限公司,一般法人
河南中原金控有限公司,一般法人
河南森源集团有限公司,一般法人
河南隆源投资有限公司,一般法人
证券行业支持民企发展系列之华金证券纾困1号集合资产管理计划,券商集合理财
深圳市京基互金科技产业合伙企业(有限合伙),一般法人
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣85号证券投资集合资金信托计划,一般法人
龙跃实业集团有限公司,一般法人
中国科学院自动化研究所,一般法人
北京久阳润泉资本管理中心(有限合伙),信托公司
汉王科技股份有限公司-第2期员工持股计划,一般法人
五矿国际信托有限公司,信托公司
民生加银基金-平安银行-天津信托-天津信托·优选定增8号集合资金信托计划,一般法人
泰达宏利基金-民生银行-天津信托-天津信托·优选定增2号集合资金信托计划,一般法人
隆基集团有限公司,一般法人
北信瑞丰基金管理有限公司-北信瑞丰基金浙商汇融5号资产管理计划,一般法人
杭州中恒科技投资有限公司,一般法人
浙商汇融投资管理有限公司,一般法人
黄冈永安药业有限公司,一般法人
国家第一养老金信托公司,QFII
浙江海宁巨铭投资合伙企业(有限合伙),一般法人
上海隆源资产经营有限公司,一般法人
康力电梯股份有限公司-第一期员工持股计划,一般法人
上海雷钧资产管理有限公司,信托公司
中国电子科技集团公司第十五研究所(华北计算技术研究所),一般法人
深圳市上元资本管理有限公司,信托公司
上海华富利得资产-民生银行-富鼎6号专项资产管理计划,一般法人
浙江亚太集团有限公司,一般法人
绍兴柯桥亚太房地产有限公司,一般法人
万家行业优选混合型证券投资基金(LOF),基金
中海量化策略混合型证券投资基金,基金
北京七星华电科技集团有限责任公司,一般法人
北京京国瑞国企改革发展基金(有限合伙),一般法人
北京圆合电子技术股份有限公司,一般法人
北京硅元科电微电子技术有限责任公司,一般法人
北京芯动能投资基金(有限合伙),一般法人
长城久润灵活配置混合型证券投资基金,基金
华泰保兴吉年福定期开放灵活配置混合型发起式证券投资基金,基金
江信祺福债券型证券投资基金A,基金
浙江慧星实业发展有限公司,一般法人
银河智联主题灵活配置混合型证券投资基金,基金
银河研究精选混合型证券投资基金,基金
长信乐信灵活配置混合型证券投资基金A,基金
长信先机两年定期开放灵活配置混合型证券投资基金,基金
鹏扬汇利债券型证券投资基金A,基金
中海信息产业精选混合型证券投资基金,基金
前海开源沪港深智慧生活优选灵活配置混合型证券投资基金,基金
北京建信股权投资基金(有限合伙),一般法人
北京电信投资有限公司,一般法人
芜湖宇仑股权投资合伙企业(有限合伙),一般法人
芜湖宇昆股权投资合伙企业(有限合伙),一般法人
芜湖建信鼎信投资管理中心(有限合伙),一般法人
重庆森山投资有限公司,一般法人
杭州晨莘投资管理合伙企业(有限合伙),一般法人
苏州睿畅投资管理有限公司,一般法人
西藏坤德投资有限公司,一般法人
亚厦控股有限公司,一般法人
威海北洋电气集团股份有限公司,一般法人
威海国有资产经营(集团)有限公司,一般法人
安徽志道投资有限公司,一般法人
山东省高新技术创业投资有限公司,一般法人
石河子联众利丰投资合伙企业(有限合伙),一般法人
上海宜业投资有限公司,一般法人
五叶神投资有限公司,一般法人
国创高科实业集团有限公司,一般法人
国投汇金资产管理(深圳)有限公司,信托公司
深圳市互兴拾伍号投资企业(有限合伙),一般法人
深圳市自觉飞马之星二号投资企业(有限合伙),一般法人
湖北长兴物资有限公司,一般法人
珠海横琴易简共赢贰号股权投资基金企业(有限合伙),一般法人
崇义章源投资控股有限公司,一般法人
山东宏桥新型材料有限公司,一般法人
南京科远自动化集团股份有限公司-第二期员工持股计划,一般法人
泰达宏利基金-民生银行-国民信托-国民信托·证通1号单一资金信托,一般法人
浙江双井投资有限公司,一般法人
中泰证券资管-证券行业支持民企发展中泰资管2号FOF集合资管计划-证券行业支持民企发展系列之中泰资管11号单一资产管理计划,一般法人
中轩投资有限公司,一般法人
共青城胜恒投资管理有限公司-胜恒普惠一期私募投资基金,一般法人
北京中信投资中心(有限合伙),一般法人
博时量化价值股票型证券投资基金A,基金
江苏疌泉毅达融京股权并购投资基金(有限合伙),一般法人
淄博蓝帆投资有限公司,一般法人
珠海巨擎秦风鲁颂股权投资中心(有限合伙),一般法人
珠海巨擎群英荟股权投资中心(有限合伙),一般法人
上海爱建信托有限责任公司-爱建信托-重阳1号证券投资事务管理类单一资金信托,一般法人
郑州航空港区兴慧电子科技有限公司,一般法人
华夏复兴混合型证券投资基金,基金
华宝万物互联灵活配置混合型证券投资基金,基金
华宝服务优选混合型证券投资基金,基金
国投瑞银境煊灵活配置混合型证券投资基金A,基金
张家港产业资本投资有限公司,一般法人
汇丰晋信新动力混合型证券投资基金,基金
苏州市尧旺企业管理有限公司,一般法人
财通资管中证500指数增强型证券投资基金(LOF)A,基金
金鹰基金-浙商银行-渤海国际信托-渤海信托·恒利丰176号集合资金信托计划,一般法人
鑫元恒鑫收益增强债券型证券投资基金A,基金
陕西省国际信托股份有限公司-陕国投·东山精密员工持股集合资金信托计划,一般法人
中信证券积极策略3号集合资产管理计划,券商集合理财
现代种业发展基金有限公司,一般法人
四川全明劲力旅游开发有限公司,一般法人
宜宾市南溪区兴南资源开发有限公司,一般法人
江海证券有限公司,券商
浙江荣盛控股集团有限公司,一般法人
光大保德信资管-光大银行-光大保德信耀财富富增9号专项资产管理计划,一般法人
国寿安保基金-交通银行-国寿安保-民生信托定增7号资产管理计划,一般法人
国投泰康信托有限公司-国投泰康信托金雕681号单一资金信托,一般法人
建信基金-工商银行-建信华润信托兴晟6号资产管理计划,一般法人
昆山经济技术开发区集体资产经营有限公司,一般法人
汇安基金-中信银行-汇安基金-信睿1号资产管理计划,一般法人
西藏知合资本管理有限公司,一般法人
华夏盛世精选混合型证券投资基金,基金
深圳市华江实业有限公司,一般法人
深圳市新力达电子集团有限公司,一般法人
深圳永宁现代包装实业有限公司,一般法人
台州市金投航天有限公司,一般法人
航天彩虹无人机股份有限公司-第1期员工持股计划,一般法人
UCPHARM COMPANY LIMITED(香港),一般法人
北京民生新晖投资合伙企业(有限合伙),一般法人
宿迁大熙信息技术有限公司,一般法人
深圳市对口支援办公室,一般法人
琪康国际有限公司,一般法人
苏州丹青二期创新医药产业投资合伙企业(有限合伙),一般法人
西藏誉曦创业投资有限公司,一般法人
贵州贵安新区金域投资中心(有限合伙),一般法人
江苏长青农化股份有限公司回购专用证券账户,一般法人
招商证券国际有限公司,一般法人
易方达资产管理(香港)有限公司-客户资金(交易所),QFII
天津市西青经济开发总公司,一般法人
天津金浩医药有限公司,一般法人
上海港鸿投资有限公司,一般法人
广州市领泰投资有限公司,一般法人
江苏联发集团股份有限公司,一般法人
上海晋拓投资管理中心(有限合伙),一般法人
江苏双象集团有限公司,一般法人
招商中证1000指数增强型证券投资基金A,基金
新疆维实创业投资股份有限公司,一般法人
汇安丰利灵活配置混合型证券投资基金A,基金
泰达宏利基金-工商银行-天津信托-天津信托·优选定增21号单一资金信托,一般法人
金鹰基金-浦发银行-厦门信托-厦门信托-财富共赢24号单一资金信托,一般法人
广发银行股份有限公司-广发银行“薪满益足”天天薪人民币理财计划,一般法人
福建隆顺祥投资有限公司,一般法人
乌鲁木齐水滴石穿股权投资合伙企业(有限合伙),一般法人
乌鲁木齐金田土股权投资合伙企业(有限合伙),一般法人
乌鲁木齐飞来石股权投资有限公司,一般法人
国投瑞银创新医疗灵活配置混合型证券投资基金,基金
国投瑞银医疗保健行业灵活配置混合型证券投资基金,基金
深圳厚伟润成投资发展有限责任公司,一般法人
深圳市乐仁科技有限公司,一般法人
深圳市海普瑞药业股份有限公司-第二期员工持股计划,一般法人
深圳前海君盛紫石创业投资企业(有限合伙),一般法人
上海船舶运输科学研究所,一般法人
乌鲁木齐和谐安泰股权投资合伙企业(有限合伙),一般法人
博时厚泽回报灵活配置混合型证券投资基金A,基金
博时裕益灵活配置混合型证券投资基金,基金
新疆国创恒股权投资有限公司,一般法人
深圳市创东方和而泰投资企业(有限合伙),一般法人
深圳远致富海并购股权投资基金合伙企业(有限合伙),一般法人
台州市富创投资有限公司,一般法人
浙江爱仕达电器股份有限公司-第一期员工持股计划,一般法人
浙江爱仕达电器股份有限公司回购专用证券账户,一般法人
爱仕达集团有限公司,一般法人
华安未来资产-工商银行-杭州乾归投资合伙企业(有限合伙),一般法人
浙江凯喜雅国际股份有限公司,一般法人
浙江嘉欣丝绸股份有限公司回购专用证券账户,一般法人
浙江晟欣实业发展有限公司,一般法人
长信基金-浦发银行-云南国际信托-云信富春41号(钱江会)单一资金信托,一般法人
中国四维测绘技术有限公司,一般法人
深圳市腾讯产业投资基金有限公司,一般法人
北京中证焦桐投资基金(有限合伙),一般法人
赣州开发区工业投资有限公司,一般法人
淄博齐翔石油化工集团有限公司,一般法人
长安国际信托股份有限公司-长安信托-齐翔腾达第一期员工持股集合资金信托计划,一般法人
陕西省国际信托股份有限公司-陕国投·聚宝盆86号证券投资集合资金信托计划,一般法人
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣32号证券投资集合资金信托计划,一般法人
农银国际投资(苏州)有限公司,一般法人
农银无锡股权投资基金企业(有限合伙),一般法人
博时内需增长灵活配置混合型证券投资基金,基金
江苏华泰瑞联并购基金(有限合伙),一般法人
苏州新区创新科技投资管理有限公司,一般法人
苏州曼睩九鼎投资中心(有限合伙),一般法人
中欧电子信息产业沪港深股票型证券投资基金A,基金
中海优质成长证券投资基金,基金
中海魅力长三角灵活配置混合型证券投资基金,基金
华夏创新前沿股票型证券投资基金,基金
华夏科技创新混合型证券投资基金A,基金
博时外延增长主题灵活配置混合型证券投资基金,基金
汇添富移动互联股票型证券投资基金,基金
银河康乐股票型证券投资基金,基金
上海萃竹股权投资管理中心(有限合伙),一般法人
北京阳光融汇医疗健康产业成长投资管理中心(有限合伙),一般法人
新沂必康新医药产业综合体投资有限公司,一般法人
深圳市创新投资集团有限公司,一般法人
肥城市桃都新能源有限公司,一般法人
陕西北度新材料科技有限公司,一般法人
上海复星医药产业发展有限公司,一般法人
国泰君安证券股份有限公司约定回购专用账户,一般法人
新疆汉森股权投资管理有限合伙企业,一般法人
北京弘达伟业投资管理中心(有限合伙),一般法人
北京理工创新高科技孵化器有限公司,一般法人
北京理工资产经营有限公司,一般法人
北京翠微集团,一般法人
北京雷科众投科技发展中心(有限合伙),一般法人
华融华侨资产管理股份有限公司,一般法人
北京诚明汇投资管理中心(有限合伙),一般法人
武汉市高德电气有限公司,一般法人
泰信鑫选灵活配置混合型证券投资基金A,基金
爱尔医疗投资集团有限公司,一般法人
东吴进取策略灵活配置混合型证券投资基金,基金
中电海康集团有限公司,一般法人
中融央视财经50交易型开放式指数证券投资基金,基金
中融央视财经50交易型开放式指数证券投资基金联接基金A,基金
兴业中证国有企业改革指数增强型证券投资基金,基金
富荣价值精选灵活配置混合型发起式证券投资基金A,基金
建信央视财经50指数分级发起式证券投资基金,基金
新疆威讯投资管理有限合伙企业,一般法人
新疆普康投资有限合伙企业,一般法人
浙商汇金转型驱动灵活配置混合型证券投资基金,基金
浙江意博高科技术有限公司,一般法人
海富通电子信息传媒产业股票型证券投资基金C,基金
诺安精选价值混合型证券投资基金,基金
银华中证央企结构调整交易型开放式指数证券投资基金,基金
银华中证央企结构调整交易型开放式指数证券投资基金联接基金,基金
长盛创新驱动灵活配置混合型证券投资基金,基金
鹏华研究驱动混合型证券投资基金,基金
新余全球星投资管理有限公司,一般法人
新余爱乐投资管理中心(有限合伙),一般法人
深圳市神州通投资集团有限公司,一般法人
赣江新区全球星投资管理有限公司,一般法人
红岭控股有限公司,一般法人
义乌富鹏股权投资合伙企业(有限合伙),一般法人
北京泽盈投资有限公司,信托公司
常州星河资本管理有限公司,一般法人
浙江润成控股集团有限公司,一般法人
重庆拓洋投资有限公司,一般法人
五龙贸易有限公司,一般法人
共青城奥轩投资合伙企业(有限合伙),一般法人
博时荣享回报灵活配置定期开放混合型证券投资基金A,基金
博时逆向投资混合型证券投资基金A,基金
天虹商场股份有限公司-第1期员工持股计划,一般法人
泓德泓富灵活配置混合型证券投资基金A,基金
泓德泓汇灵活配置混合型证券投资基金,基金
中信兴业投资集团有限公司,一般法人
拉萨市达实投资发展有限公司,一般法人
西藏林芝福恒珠宝金行有限公司,一般法人
中融医疗健康精选混合型证券投资基金A,基金
博时鑫瑞灵活配置混合型证券投资基金A,基金
天治趋势精选灵活配置混合型证券投资基金,基金
鹏扬景泰成长混合型发起式证券投资基金A,基金
鹏扬核心价值灵活配置混合型证券投资基金A,基金
华创证券有限责任公司支持民企发展14号单一资产管理计划,一般法人
华创证券有限责任公司支持民企发展1号集合资产管理计划,券商集合理财
凯撒集团(香港)有限公司,一般法人
志凯有限公司,一般法人
证券行业支持民企发展系列之东吴证券1号私募股权投资基金(契约型),一般法人
上海垚阔企业管理中心(有限合伙),一般法人
中融国际信托有限公司-中融-证赢130号集合资金信托计划,一般法人
佳源有限公司,一般法人
湖州尤夫控股有限公司,一般法人
临沧飞翔冶炼有限责任公司,一般法人
云南东兴实业集团有限公司,一般法人
云南省核工业二0九地质大队,一般法人
建信瑞丰添利混合型证券投资基金A,基金
汇天泽投资有限公司,一般法人
乌鲁木齐鑫驰四海股权投资合伙企业(有限合伙),一般法人
新疆兆驰股权投资合伙企业(有限合伙),一般法人
深圳市兆驰股份有限公司-第一期员工持股计划,一般法人
基本养老保险基金1201组合,社保基金
杭州制氧机集团有限公司,一般法人
杭州商旅金融投资有限公司,一般法人
河南省豫资保障房管理运营有限公司,一般法人
厦门国际信托有限公司-厦门信托-鲲凌11号集合资金信托计划,一般法人
恒天中岩投资管理有限公司,信托公司
石河子三和股权投资合伙企业(有限合伙),一般法人
华润深国投信托有限公司-华润信托·星河2号集合资金信托计划,一般法人
吉富创业投资股份有限公司,一般法人
太安堂集团有限公司,一般法人
广东金皮宝投资有限公司,一般法人
万里扬集团有限公司,一般法人
浙江万里扬股份有限公司回购专用证券账户,一般法人
金华市众成投资有限公司,一般法人
香港利邦实业有限公司,一般法人
上海浓谷投资管理有限公司,信托公司
张家港保税区金港资产经营公司,一般法人
长江润发集团有限公司,一般法人
大成创新资本-兴业银行-深圳市国能金汇资产管理有限公司,一般法人
大成创新资本-兴森资产管理计划1号,一般法人
ORIENTAL KEYSTONE INVESTMENT LIMITED,一般法人
