机构名称,类型
长盛盛辉混合型证券投资基金A,基金
香港中央结算有限公司,一般法人
鹏华中证银行指数分级证券投资基金,基金
鹏华兴泰定期开放灵活配置混合型证券投资基金,基金
鹏华弘和灵活配置混合型证券投资基金A类,基金
鹏华弘实灵活配置混合型证券投资基金A类,基金
鹏华弘达灵活配置混合型证券投资基金A,基金
鹏华弘鑫灵活配置混合型证券投资基金A,基金
鹏华改革红利股票型证券投资基金,基金
鹏华盛世创新混合型证券投资基金(LOF),基金
万家宏观择时多策略灵活配置混合型证券投资基金,基金
万家新利灵活配置混合型证券投资基金,基金
万家瑞兴灵活配置混合型证券投资基金,基金
万家瑞益灵活配置混合型证券投资基金A,基金
万家精选混合型证券投资基金,基金
上投摩根稳进回报混合型证券投资基金,基金
上投摩根红利回报混合型证券投资基金A,基金
东方睿鑫热点挖掘灵活配置混合型证券投资基金A,基金
东方红中国优势灵活配置混合型证券投资基金,基金
东方红产业升级灵活配置混合型证券投资基金,基金
东方红恒元五年定期开放灵活配置混合型证券投资基金,基金
东方红沪港深灵活配置混合型证券投资基金,基金
东方红睿丰灵活配置混合型证券投资基金(LOF),基金
东方红睿元三年定期开放灵活配置混合型发起式证券投资基金,基金
东方红睿泽三年定期开放灵活配置混合型证券投资基金,基金
东方红睿满沪港深灵活配置混合型证券投资基金(LOF),基金
东方红睿阳三年定期开放灵活配置混合型证券投资基金,基金
中航军民融合精选混合型证券投资基金A,基金
中融融信双盈债券型证券投资基金A,基金
中邮中小盘灵活配置混合型证券投资基金,基金
中邮战略新兴产业混合型证券投资基金,基金
中邮核心优选混合型证券投资基金,基金
中邮核心成长混合型证券投资基金,基金
中金MSCI中国A股国际红利指数发起式证券投资基金A,基金
中金金泽量化精选混合型发起式证券投资基金A,基金
中银主题策略混合型证券投资基金,基金
中银宏观策略灵活配置混合型证券投资基金,基金
中银持续增长混合型证券投资基金A,基金
中银民丰回报混合型证券投资基金,基金
九泰锐富事件驱动混合型发起式证券投资基金,基金
