股票代码,公司名称,英文名称,曾用名,所属申万行业,主营业务,公司网址,注册资金,员工人数,电话,传真,邮政编码,办公地址,公司简介,所属地域,简写名称
000732,泰禾集团股份有限公司,"Tahoe Group Co.,Ltd",福建三农->*ST三农->S*ST三农->*ST三农->ST三农->福建三农,房地产 — 房地产开发Ⅱ,房地产,www.tahoecn.com,24.89亿元,11207,86-010-85175560;86-010-85175560-5784,86-010-85175560-5787,350011,福建省福州市晋安区岳峰镇横屿路9号东二环泰禾城市广场2号楼20-31层,泰禾集团股份有限公司是一家主要从事农药、化工、和房地产开发及经营的公司.公司的主要产品是草甘膦(农药)、痛血康、来氟米特及开发的商品房。2018年，泰禾院子系产品加速布局，从2017年的“17城31院”发展到“22城44院”，且已在全国29城累计开发全产品系列项目90余个。公司以泰禾“院子”、泰禾“红”系列为核心品牌的住宅地产产品，以“泰禾广场”为核心品牌的商业地产产品，在全国具有一定的品牌影响力。,福建省,泰禾集团
000733,中国振华(集团)科技股份有限公司,"China Zhenhua(Group) Science&Technology Co.,Ltd",振华科技->G振华科,电子 — 元件Ⅱ,一是以移动通信终端、电子电话机、通信天线等为主的专用整机板块；二是以片式电阻、电容、电感、半导体二三极管、集成电路等为主的高新电子板块；三是以高压真空灭弧室、手机／动力电池、电子材料等为主的集成电路与关键元器件板块；四是以进出口贸易、信息化服务等为主的现代电子商贸与园区服务板块。,www.czst.com.cn,5.15亿元,7909,86-0851-86301078;86-0851-86302675,86-0851-86302674,550018,贵州省贵阳市乌当区新添大道北段268号,中国振华(集团)科技股份有限公司的主营业务是一是以移动通信终端、电子电话机、通信天线等为主的专用整机板块；二是以片式电阻、电容、电感、半导体二三极管、集成电路等为主的高新电子板块；三是以高压真空灭弧室、手机／动力电池、电子材料等为主的集成电路与关键元器件板块；四是以进出口贸易、信息化服务等为主的现代电子商贸与园区服务板块。公司的主要产品是专业整机与核心零部件、集成电路与关键元器件、高新电子、现代电子商贸与园区服务。振华富“LTCC微波元件的研制与产业化”、振华群英“宇航用磁保持高压直流接触器”及振华云科“单层片式瓷介电容器”3个项目获贵州省2018年度科技进步三等奖。,贵州省,振华科技
000735,罗牛山股份有限公司,"Luoniushan Co.,Ltd.",罗牛山->G罗牛山->罗牛山->*ST罗牛,农林牧渔 — 畜禽养殖,"畜牧养殖、农副水产品加工、饲料加工、种植,代收代缴水电费用",www.luoniushan.com,11.52亿元,2232,86-0898-68581213;86-0898-68585243,86-0898-68585243,570203,海南省海口市美兰区国兴大道5号海南大厦农信楼10楼,"罗牛山股份有限公司是一家以畜牧业为主的企业.经营范围为种养殖业、兴办工业、房地产开发经营、建筑装璜工程、化肥的生产销售、农副畜水产品及饲料加工销售、机械汽车摩托车零件、电子产品、金属材料(专营除外)、化工产品(专营除外)、家用电器、现代办公用品、文件用品、日用百货、食品、建筑材料、农副土特产品的销售、餐饮业、交易市场的开发建设、租赁服务.自2002年期连年被认定为国家农业产业化重点龙头企业.公司在海南省十几个市县建有四十几个现代化畜牧养殖基地,拥有海南省最大的""菜篮子""工程基地、种苗生产基地和以畜牧业为主的农业科技示范基地。",海南省,罗牛山
000736,中交地产股份有限公司,Cccg Real Estate Corporation Limited,重庆实业->ST重实->*ST重实->S*ST重实->SST重实->ST重实->重庆实业->中房地产,房地产 — 房地产开发Ⅱ,房地产开发,www.cccgrealestate.com,5.35亿元,929,86-023-67530016,86-023-67530016,401120,重庆市渝北区洪湖东路9号财富大厦B座9楼,中交地产股份有限公司从事主要业务为房地产开发业务，产品以刚需及改善住宅为主，截止2018年底，我公司共持有及参与房地产项目44个（包括并表项目和参股项目），业务主要分布于长三角、珠三角、京津冀和西南城市群等区域。,重庆市,中交地产
000737,南风化工集团股份有限公司,"Nafine Chemical Industry Group Co.,Ltd",南风化工->G南风->南风化工->*ST南风->南风化工->*ST南风,化工 — 化学原料,生产销售工业无机盐系列产品、日用化工系列产品、医药产品、化肥系列产品,www.nafine.com,5.49亿元,1761,86-0359-8967118,86-0359-8967035,44000,山西省运城市盐湖区红旗东街376号,"南风化工集团股份有限公司主营业务为生产销售工业无机盐系列产品、日用化工系列产品、医药产品、化肥系列产品。公司主要生产销售工业无机盐系列产品、日用化工系列产品、医药产品、化肥系列产品。无机盐系列品牌“运”牌被评为“中国驰名商标”。2019年上半年,公司有1项专利被国家知识产权局受理,其中发明专利1项。截至2019年6月30日,公司拥有有效专利19项,其中发明专利9项,实用新型专利10项。",山西省,南风
000738,中国航发动力控制股份有限公司,"Aecc Aero-Engine Control Co.,Ltd.",南方摩托->ST南摩->南方摩托->G南摩->G*ST南摩->G*ST宇航->*ST宇航->ST宇航->中航动控,国防军工 — 航空装备,航空、航天发动机控制系统产品的研制、生产、销售、修理；汽车零部件、摩托车零部件生产、销售,www.aaec.com.cn,11.46亿元,7745,86-0510-85700611;86-0510-85707738,86-0510-85500738,214063,江苏省无锡市滨湖区梁溪路792号,中国航发动力控制股份有限公司主要从事航空发动机零部件加工、汽车发动机零部件制造、汽车电动助力转向器的生产和销售、国际机械产品加工贸易、摩托车及摩托车发动机产品的生产和销售等机械制造业务。主要产品为发动机控制系统及衍生产品、国际合作、非航民品及其他。2018年，公司拥有有效专利数336项，其中发明专利234项，实用新型97项，软件著作权5项。建立了完备的质量体系，通过了GJB9001B、AS9100C质量体系认证。通过持续改善经营管理，加快推进AEOS（运营管理体系）建设，深入实施成本工程，推进长家匠分离，公司发展基础不断夯实，发展质量稳中向好，发展实力持续增强。,江苏省,航发控制
000739,普洛药业股份有限公司,"Apeloa Pharmaceutical Co.,Ltd",青岛东方->普洛药业->普洛康裕->G康裕->普洛康裕->普洛股份,医药生物 — 化学制药,原料药、制剂的研发、生产、销售业务,www.apeloa.com,11.79亿元,5761,86-0579-86557527,86-0579-86558122,322118,浙江省金华市东阳市横店江南路399号,"普洛药业股份有限公司是一家集研究、开发、生产原料药、制剂、医药中间体的大型综合性制药企业，为国家重点高新技术企业、浙江省医药工业重点企业，并已连续九年荣获浙江省医药工业“十佳企业”称号，连续十年荣获浙江省中行AAA信用等级企业称号，连续五年跻身浙江省纳税大户行列。并先后通过了国家药品GMP、ISO9001质量管理体系、ISO14001环境管理体系和OSHAS18001职业安全健康管理体系认证。“康裕”牌商标为浙江省著名商标。公司现拥有数条化学制药、半合成抗生素、医药制剂（冻干粉针、口服固体、液体制剂）产品的现代化生产线。
　　2019年上半年，公司共获发明专利授权4件。截至目前，公司拥有各项有...",浙江省,普洛药业
000750,国海证券股份有限公司,"Sealand Securities Co.,Ltd.",桂林集琦->*ST集琦->S*ST集琦->SST集琦->S*ST集琦->SST集琦,非银金融 — 证券,证券经纪、投资银行、证券自营、资产管理,www.ghzq.com.cn,42.16亿元,2595,86-0771-5539038;86-0771-5532512,86-0771-5530903,530028,广西壮族自治区南宁市青秀区滨湖路46号国海大厦,"国海证券股份有限公司主营业务是证券经纪、投资银行、证券自营、资产管理,主要产品有零售财富管理、企业金融服务、销售交易业务、资产管理业务、信用业务。公司证券经纪业务在广西市场占有率位列第一，区域和品牌优势明显。公司目前是广西市值最大的上市公司，是广西唯一一家入选“深证100指数”的上市公司,并成功跻身有证券市场整体走势“晴雨表”之称的“沪深300指数”,2014年中国证监会证券公司分类评价结果为A类A级。　　2007年至2019年6月末，公司连续10年获得国开行授予的“金融债优秀承销商”称号；10次获得农发行授予的年度“金融债券优秀承销商”称号；5次获得进出口行授予的年度“金融债优秀承销商”称号...",广西壮族自治区,国海证券
000751,葫芦岛锌业股份有限公司,"Huludao Zinc Industry Co.,Ltd.",锌业股份->G锌业->锌业股份->*ST锌业->锌业股份->*ST锌业,有色金属 — 工业金属,锌、铅、硫酸及综合利用产品的生产,www.hldxygf.com,14.1亿元,6073,86-0429-2024121,86-0429-2101801,125003,辽宁省葫芦岛市龙港区锌厂路24号,"葫芦岛锌业股份有限公司是一家以锌为主产品的企业.经营范围:锌、铜冶炼及深加工产品、硫酸、镉、铟综合利用产品加工,有色金属及制品加工;非贵重矿产品购销等.公司生产的""葫锌""牌锌锭在伦敦金属交易所(LME)注册,为出口免检产品,硫酸经国家质量奖审定委员会认定为国家金质奖产品。",辽宁省,锌业股份
000752,西藏银河科技发展股份有限公司,"Tibet Galaxy Science & Technology Development Co.,Ltd.",拉萨啤酒->西藏发展->G藏发展->西藏发展->ST西发,食品饮料 — 饮料制造,生产、销售啤酒、饮料,rs.p5w.net/c/000752.shtml,2.64亿元,284,86-028-85238616,86-028-65223967,610041,四川省成都市武侯区人民南路4段45号新希望大厦1608,"西藏银河科技发展股份有限公司是自治区唯一的啤酒生产企业和全区66户国家骨干企业之一.为自治区重点扶持企业.经营范围:生产销售啤酒、饮料;饲料、养殖业;娱乐服务;藏红花系列产品开发;计算机软硬件系统集成产品,网络及信息技术产品的研制、开发、生产、销售.公司产品目前主要供应西藏市场,由于生产规模较小,产品供不应求,在西藏市场占有率为30%左右;区外市场主要供应成都及其周边地区,并通过成都销往全国,同时通过尼泊尔进行转口贸易的渠道业已打开.公司1997年被政府授予改革开放排头兵光荣称号;1998年位列全自治区纳税第七名;1999年位列全自治区纳税第四名;是区内最优秀企业之一。",西藏自治区,西发
