股票代码,股东股票代码2,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
002855,000021,1257.38万,15.08%,流通A股,1,2019-09-30
002855,601688,68.09万,0.82%,流通A股,5,2019-09-30
002855,600958,60.00万,0.72%,流通A股,6,2019-09-30
002868,601688,14.87万,0.39%,流通A股,9,2019-09-30
002871,601688,26.03万,0.90%,流通A股,4,2019-09-30
002881,601688,40.18万,0.89%,流通A股,2,2019-09-30
002888,601688,14.93万,0.42%,流通A股,8,2019-09-30
002895,601881,75.00万,0.84%,流通A股,4,2019-09-30
002897,000783,31.38万,0.46%,流通A股,10,2019-09-30
002897,600030,60.26万,0.89%,流通A股,6,2019-09-30
002908,601688,53.02万,0.45%,流通A股,10,2019-09-30
002912,300188,221.28万,4.27%,流通A股,3,2019-09-30
002918,601066,220.54万,1.63%,流通A股,5,2019-09-30
002927,600525,1902.75万,26.45%,流通A股,1,2019-09-30
002947,601688,46.00万,1.51%,流通A股,4,2019-09-30
002955,000783,20.31万,0.59%,流通A股,2,2019-09-30
002957,601688,12.35万,0.30%,流通A股,10,2019-09-30
002967,002152,3059.44万,INF%,三板流通A股,2,2019-06-30
003816,601628,6.71亿,5.08%,流通H股,3,2019-09-30
300016,000565,4046.45万,10.13%,流通A股,1,2019-09-30
300035,300073,1575.90万,3.87%,流通A股,2,2019-09-30
300082,002054,3269.59万,4.83%,流通A股,2,2019-09-30
300087,002385,6096.46万,17.48%,流通A股,2,2019-09-30
300094,601933,9364.65万,12.50%,流通A股,2,2019-09-30
300095,600320,2225.78万,8.08%,流通A股,2,2019-09-30
300100,601881,930.00万,2.40%,流通A股,3,2019-09-30
300120,601099,297.13万,1.27%,流通A股,19,2019-09-30
300147,300147,513.96万,0.78%,流通A股,8,2019-09-30
300152,601688,169.81万,0.24%,流通A股,7,2019-09-30
300165,601881,434.00万,1.36%,流通A股,4,2019-09-30
300178,002736,288.46万,0.49%,流通A股,9,2019-09-30
300197,600999,3225.48万,1.94%,流通A股,6,2019-09-30
300197,601066,2767.19万,1.66%,流通A股,8,2019-09-30
300210,601066,484.00万,1.21%,流通A股,5,2019-09-30
300214,600958,380.00万,1.12%,流通A股,6,2019-09-30
300241,000100,440.86万,1.06%,流通A股,10,2019-09-30
300250,601881,540.00万,3.57%,流通A股,2,2019-09-30
300255,002736,440.00万,0.74%,流通A股,6,2019-09-30
300265,601688,52.08万,0.15%,流通A股,6,2019-09-30
300283,600030,88.31万,0.39%,流通A股,10,2019-09-30
300289,600998,450.00万,1.08%,流通A股,7,2019-09-30
300327,600030,383.80万,1.52%,流通A股,5,2019-09-30
300330,601688,91.66万,0.55%,流通A股,8,2019-09-30
300339,002315,798.93万,1.08%,流通A股,10,2019-09-30
300354,601688,35.30万,0.46%,流通A股,7,2019-09-30
300362,601162,1108.82万,3.52%,流通A股,5,2019-09-30
300411,300306,674.59万,4.56%,流通A股,3,2019-09-30
300412,601881,519.00万,2.34%,流通A股,4,2019-09-30
