股票代码,股东股票代码2,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
603886,600030,98.90万,0.82%,流通A股,8,2019-09-30
603888,601801,383.54万,2.17%,流通A股,2,2019-09-30
603915,601688,40.96万,0.49%,流通A股,5,2019-09-30
603929,600837,150.88万,1.56%,流通A股,4,2019-09-30
603970,000525,691.20万,7.24%,流通A股,3,2019-09-30
603999,600551,314.82万,0.55%,流通A股,6,2019-09-30
688003,601211,18.80万,0.43%,流通A股,5,2019-09-30
688006,002736,40.21万,1.09%,流通A股,2,2019-09-30
688009,601211,1677.36万,0.53%,流通A股,2,2019-09-30
688009,601688,1290.00万,0.41%,流通A股,3,2019-09-30
688009,600999,350.20万,0.11%,流通A股,5,2019-09-30
688010,601211,46.94万,1.32%,流通A股,1,2019-09-30
688012,601788,100.00万,2.06%,流通A股,1,2019-09-30
688016,600030,13.43万,0.96%,流通A股,2,2019-09-30
688016,601211,9.29万,0.66%,流通A股,3,2019-09-30
688018,600999,41.00万,2.35%,流通A股,3,2019-09-30
688019,601211,7.45万,0.64%,流通A股,5,2019-09-30
688022,601211,17.29万,0.71%,流通A股,4,2019-09-30
688028,601066,17.63万,0.97%,流通A股,1,2019-09-30
688029,600030,61.11万,2.00%,流通A股,4,2019-09-30
688036,600030,67.69万,0.95%,流通A股,1,2019-09-30
688066,002736,60.83万,1.62%,流通A股,1,2019-09-30
688068,601688,10.23万,0.72%,流通A股,9,2019-09-30
688099,601211,31.33万,0.84%,流通A股,2,2019-09-30
688122,601066,18.00万,0.45%,流通A股,4,2019-09-30
688168,600837,7.87万,0.68%,流通A股,3,2019-09-30
688168,601881,7.05万,0.61%,流通A股,4,2019-09-30
688199,601099,140.57万,2.35%,三板流通A股,9,2019-06-30
688300,600183,2000.00万,INF%,三板流通A股,1,2019-06-30
831063,600551,887.32万,11.58%,三板流通A股,3,2019-09-30
831173,000776,136.70万,1.54%,三板流通A股,9,2019-09-30
833137,603158,235.00万,10.56%,三板流通A股,3,2019-06-30
833629,600958,379.62万,6.24%,三板流通A股,4,2019-09-30
836019,600805,1234.57万,5.76%,三板流通A股,3,2019-06-30
