股票代码,pid,持有数量,占流通股比例,股份类型,十大流通股东排名,日期
000333,59724,5018.98万,0.74%,流通A股,9,2019-09-30
000338,59727,5026.42万,0.81%,流通A股,8,2019-09-30
000401,59728,1620.00万,1.20%,流通A股,5,2019-09-30
000402,59729,1106.59万,0.37%,流通A股,10,2019-09-30
000402,59730,1207.19万,0.40%,流通A股,9,2019-09-30
000403,59731,253.36万,0.93%,流通A股,10,2019-09-30
000403,59732,350.01万,1.29%,流通A股,7,2019-09-30
000403,59733,338.42万,1.25%,流通A股,8,2019-09-30
000403,59734,313.85万,1.16%,流通A股,9,2019-09-30
000404,59735,388.88万,0.56%,流通A股,10,2019-09-30
000404,59736,1552.61万,2.24%,流通A股,3,2019-09-30
000404,59737,694.00万,1.00%,流通A股,5,2019-09-30
000404,59738,517.82万,0.75%,流通A股,7,2019-09-30
000404,59739,509.71万,0.73%,流通A股,8,2019-09-30
000404,59740,400.80万,0.58%,流通A股,9,2019-09-30
000407,59741,510.07万,0.58%,流通A股,10,2019-09-30
000407,59742,3210.11万,3.67%,流通A股,4,2019-09-30
000407,59743,1051.90万,1.20%,流通A股,6,2019-09-30
000408,59745,3399.68万,7.32%,流通A股,2,2019-09-30
000408,59746,1784.83万,3.84%,流通A股,3,2019-09-30
000408,69885,520.93万,1.12%,流通A股,7,2019-09-30
000408,69886,469.78万,1.01%,流通A股,8,2019-09-30
000408,69887,456.22万,0.98%,流通A股,9,2019-09-30
000409,69888,219.28万,0.54%,流通A股,10,2019-09-30
000409,59748,728.00万,1.79%,流通A股,6,2019-09-30
000409,59747,449.95万,1.11%,流通A股,7,2019-09-30
000409,69889,400.52万,0.99%,流通A股,8,2019-09-30
000410,69890,131.56万,0.18%,流通A股,10,2019-09-30
000410,59751,318.63万,0.43%,流通A股,3,2019-09-30
000410,59752,250.00万,0.34%,流通A股,4,2019-09-30
000410,59753,247.00万,0.33%,流通A股,5,2019-09-30
000410,59754,230.00万,0.31%,流通A股,6,2019-09-30
000410,59755,188.63万,0.25%,流通A股,7,2019-09-30
000410,59756,140.00万,0.19%,流通A股,8,2019-09-30
000410,59750,134.56万,0.18%,流通A股,9,2019-09-30
000411,59757,244.86万,1.18%,流通A股,6,2019-09-30
000415,69891,5380.00万,1.52%,流通A股,5,2019-09-30
000415,69892,2178.88万,0.61%,流通A股,8,2019-09-30
000415,69893,2103.00万,0.59%,流通A股,9,2019-09-30
000416,59758,193.25万,0.36%,流通A股,10,2019-09-30
000416,59759,492.99万,0.93%,流通A股,2,2019-09-30
000416,59760,485.00万,0.91%,流通A股,3,2019-09-30
000416,59761,260.00万,0.49%,流通A股,4,2019-09-30
000416,59762,212.38万,0.40%,流通A股,5,2019-09-30
000416,59763,211.31万,0.40%,流通A股,6,2019-09-30
000416,59764,209.18万,0.39%,流通A股,7,2019-09-30
000416,59765,193.56万,0.36%,流通A股,9,2019-09-30
000417,59766,300.00万,0.39%,流通A股,10,2019-09-30
000417,59767,1049.00万,1.35%,流通A股,7,2019-09-30
000417,59768,385.25万,0.49%,流通A股,8,2019-09-30
000419,59769,649.36万,1.20%,流通A股,3,2019-09-30
000419,59770,567.55万,1.04%,流通A股,5,2019-09-30
000419,59771,565.24万,1.04%,流通A股,6,2019-09-30
000419,59772,478.57万,0.88%,流通A股,7,2019-09-30
000419,59773,400.00万,0.74%,流通A股,8,2019-09-30
000419,59774,383.25万,0.71%,流通A股,9,2019-09-30
000420,59775,1700.01万,0.92%,流通A股,10,2019-09-30
000420,59776,6511.44万,3.52%,流通A股,5,2019-09-30
000420,59777,1970.00万,1.06%,流通A股,8,2019-09-30
000420,59778,1734.06万,0.94%,流通A股,9,2019-09-30
000421,59779,178.78万,0.31%,流通A股,10,2019-09-30
000421,59780,400.00万,0.70%,流通A股,6,2019-09-30
000421,59781,307.96万,0.54%,流通A股,7,2019-09-30
000421,59782,187.72万,0.33%,流通A股,8,2019-09-30
000421,59783,186.50万,0.33%,流通A股,9,2019-09-30
000422,59784,272.82万,0.30%,流通A股,10,2019-09-30
000422,59785,4485.00万,5.00%,流通A股,3,2019-09-30
000422,59786,895.18万,1.00%,流通A股,5,2019-09-30
000422,59787,666.00万,0.74%,流通A股,6,2019-09-30
000422,59788,383.91万,0.43%,流通A股,8,2019-09-30
000422,59789,343.00万,0.38%,流通A股,9,2019-09-30
000428,59795,493.09万,0.48%,流通A股,10,2019-09-30
000428,59796,1400.00万,1.37%,流通A股,3,2019-09-30
000428,59797,1000.00万,0.98%,流通A股,5,2019-09-30
000428,59798,734.78万,0.72%,流通A股,6,2019-09-30
000428,59799,573.25万,0.56%,流通A股,8,2019-09-30
000428,59800,547.15万,0.54%,流通A股,9,2019-09-30
000429,59801,1966.48万,1.19%,"流通A股,流通B股",10,2019-09-30
000430,59802,400.22万,1.21%,流通A股,9,2019-09-30
000488,59804,1101.02万,0.38%,流通A股,8,2019-09-30
000488,59803,991.70万,0.34%,流通B股,9,2019-09-30
